,compound_id,compound_name,compound_name_iupac,compound_sf,compound_mw,compound_rt,compound_mq,compound_iso_smiles,compound_can_smiles,compound_xlogp,compound_folder,KMD-CH2,KMD-OCH2,KMD-C2H4O,KMD-CO,KMD-H2,KMD-COO,KMD-H2O,KMD-O,KMD-O2,KMD-S,KMD-OS,KMD-Cl,KMD-Br,KMD-NH3,KMD-C2H4,KMD-C3H8,KMD-C3H8O,KMD-C5H6O,KMD-CH4,KMD-C2O,KMD-C2H2O,KMD-C3H6O,KMDrem-CH2,KMDn-CH2,KMDrescaled-CH2,KMDrem-OCH2,KMDn-OCH2,KMDrescaled-OCH2,KMDrem-C2H4O,KMDn-C2H4O,KMDrescaled-C2H4O,KMDrem-CO,KMDn-CO,KMDrescaled-CO,KMDrem-H2,KMDn-H2,KMDrescaled-H2,KMDrem-COO,KMDn-COO,KMDrescaled-COO,KMDrem-H2O,KMDn-H2O,KMDrescaled-H2O,KMDrem-O,KMDn-O,KMDrescaled-O,KMDrem-O2,KMDn-O2,KMDrescaled-O2,KMDrem-S,KMDn-S,KMDrescaled-S,KMDrem-OS,KMDn-OS,KMDrescaled-OS,KMDrem-Cl,KMDn-Cl,KMDrescaled-Cl,KMDrem-Br,KMDn-Br,KMDrescaled-Br,KMDrem-NH3,KMDn-NH3,KMDrescaled-NH3,KMDrem-C2H4,KMDn-C2H4,KMDrescaled-C2H4,KMDrem-C3H8,KMDn-C3H8,KMDrescaled-C3H8,KMDrem-C3H8O,KMDn-C3H8O,KMDrescaled-C3H8O,KMDrem-C5H6O,KMDn-C5H6O,KMDrescaled-C5H6O,KMDrem-CH4,KMDn-CH4,KMDrescaled-CH4,KMDrem-C2O,KMDn-C2O,KMDrescaled-C2O,KMDrem-C2H2O,KMDn-C2H2O,KMDrescaled-C2H2O,KMDrem-C3H6O,KMDn-C3H6O,KMDrescaled-C3H6O
0,DiAcids_00,Dodecanedioic acid,Dodecanedioic acid,C12 H22 O4,230.15159,4.997,1.0,C(CCCCCC(=O)O)CCCCC(=O)O,C(CCCCCC(=O)O)CCCCC(=O)O,3.2,DiAcids,0.1054003787912734,-0.07056923771335732,-0.014549691608920057,-0.19339789288429188,-0.36462941463844345,-0.204802681747708,-0.016587079769038837,-0.22476378176480694,-0.22476378176480694,-0.352636206347114,-0.30999628475240115,-0.3565897129481641,-0.38977511522767827,0.20728000939240587,0.1054003787912734,0.175389088659756,0.06881772935054187,-0.034146871574535,0.29776684443635304,-0.1808539302484462,-0.09371220555377135,0.014415232542859258,C O4,11,5.421058468842941,C8 H14,4,3.6690262782630794,C4 H6,4,1.2276083806462985,C8 H22,4,4.2212006114300165,C12 O4,11,103.18242345007366,C8 H22,4,2.686351657939972,C12 H14,4,8.778711452140977,C12 H22,4,10.389061439924541,C12 H22,2,5.194530719962271,C12 H22 O4,0,7.198526737036113,C12 H22 O4,0,4.79812949214484,C12 H22 O4,0,6.581623117014909,C12 H22 O4,0,2.916329044676023,C12 H22 O4,0,13.517231696245524,C2 H2 O4,5,3.210529234421471,C6 H6 O4,2,3.223291586074505,C6 H6 O2,2,1.8321900208013633,C2 H10 O2,2,0.8052971456959301,C7 H2 O4,5,9.356403244684618,C4 H22,4,1.7545268286364564,C4 H14,4,1.4784269366136484,C3 H4 O,3,0.9652724792534532
1,DiAcids_01,Sebacic acid,Decanedioic acid,C10 H18 O4,202.12041,4.38,1.0,C(CCCCC(=O)O)CCCC(=O)O,C(CCCCC(=O)O)CCCC(=O)O,2.1,DiAcids,0.1052803840088643,-0.04925711466955818,-6.043683367806807e-05,-0.1571259247129433,0.44890875277124564,-0.1671416739025915,-0.0018496824793601263,-0.18467162326993503,-0.18467162326993503,-0.29696989974181065,-0.2595232827747509,-0.30044189128940957,-0.32958549666162185,0.19475164383263177,0.1052803840088643,0.16674485937477357,0.07315329723164155,-0.01727078958199968,0.2742176870552271,-0.14610974676267574,-0.06958139810603825,0.025376721107221556,C O4,9,5.421058468842941,C6 H10,4,2.7349785379405938,C2 H2,4,0.5909127144607015,C6 H18,4,3.2199008928974027,C10 O4,9,91.27559476826589,C6 H18,4,2.0491293587458865,C10 H10,4,7.222330482377413,C10 H18,4,8.63654816957402,C10 H18,2,4.31827408478701,C10 H18 O4,0,6.32178340764666,C10 H18 O4,0,4.213742133528617,C10 H18 O4,0,5.780015458226924,C10 H18 O4,0,2.5611352488303507,C10 H18 O4,0,11.870902780007523,C2 H2 O4,4,3.210529234421471,C4 H2 O4,2,2.5871216831434487,C4 H2 O2,2,1.3654490944387294,H6 O2,2,0.4636264609445596,C6 H2 O4,4,8.607867573622459,C2 H18,4,1.0536552204444505,C2 H10,4,0.8111828674194087,C O,3,0.4823227976872983
2,DiAcids_02,Azelaic acid,Nonanedioic acid,C9 H16 O4,188.10473,3.977,1.0,C(CCCC(=O)O)CCCC(=O)O,C(CCCC(=O)O)CCCC(=O)O,1.6,DiAcids,0.10531028612246018,-0.038511084830560094,0.007274136964809941,-0.13889992427843367,0.3557671376912026,-0.1482211491714054,0.00560896337302097,-0.16453551540811873,-0.16453551540811873,-0.2690466678207315,-0.23419671984166257,-0.2722779002955633,-0.2994005942371132,0.1885773207178545,0.10531028612246018,0.1625126168682698,0.07541099498249082,-0.00874279451150528,0.26253293264517197,-0.1286476435762438,-0.057426017015103525,0.030947400473593234,C O4,8,5.421058468842941,C5 H8,4,2.2679546677793514,C,4,0.272564881367903,C5 H16,4,2.719251033631096,C9 O4,8,85.32218042736201,C5 H16,4,1.730518209148844,C9 H8,4,6.444139997495632,C9 H16,4,7.760291534398758,C9 H16,2,3.880145767199379,C9 H16 O4,0,5.883411742951935,C9 H16 O4,0,3.921548454220506,C9 H16 O4,0,5.379211628832931,C9 H16 O4,0,2.3835383509075148,C9 H16 O4,0,11.047738321888524,C O4,4,2.7105292344214704,C3 O4,2,2.269036731677921,C3 O2,2,1.1320786312574125,C4 H10 O3,1,1.2927911185688743,C5 O4,4,7.733599738091378,C H16,4,0.7032194163484474,C H8,4,0.4775608328222888,C3 H4 O2,2,1.240847956904221
3,DiAcids_03,Hexadecanedioic acid,Hexadecanedioic acid,C16 H30 O4,286.21423,5.8,1.0,C(CCCCCCCC(=O)O)CCCCCCC(=O)O,C(CCCCCCCC(=O)O)CCCCCCC(=O)O,5.4,DiAcids,0.10536068100793727,-0.11347338523199824,-0.04380803443757486,-0.26622188008991543,0.008016424539619038,-0.2804047621759196,-0.04634171010525279,-0.3052281877770042,-0.3052281877770042,-0.46424906414836187,-0.4112224814230103,-0.4691656056661486,0.4895653578668089,0.23205717710942508,0.10536068100793727,0.19239794502897212,0.05986686173412181,-0.06817889267938426,0.3445857058813999,-0.25062233282216084,-0.14225375003564977,-0.007787542625578681,C O4,15,5.421058468842941,C12 H22,4,5.537121758908049,C8 H14,4,2.5009997130174924,C12 H30,4,6.223800048495245,C16 O4,15,126.99608081368919,C12 H30,4,3.9607962563281434,C16 H22,4,11.891473391668104,C16 H30,4,13.894087980625587,C16 H30,2,6.947043990312793,C16 H30 O4,0,8.952013395815019,C16 H30 O4,0,5.966904209377286,C16 H30 O4,0,8.184838434590882,C16 H30 O4,0,3.6267166363673677,C16 H30 O4,0,16.809889528721527,C2 H2 O4,7,3.210529234421471,C7 H6 O4,3,3.4956313919366173,C7 H6 O,3,1.7656718735266304,C H12 O,3,0.4886385151986712,C9 H2 O4,7,10.853474586808934,C8 H30,4,3.156270045020469,C8 H22,4,2.812915075002128,C4 H6,4,0.9311718423857623
4,DiAcids_04,Tetradecanedioic acid,Tetradecanedioic acid,C14 H26 O4,258.1831,5.448,1.0,C(CCCCCCC(=O)O)CCCCCC(=O)O,C(CCCCCCC(=O)O)CCCCCC(=O)O,4.3,DiAcids,0.10519074205615198,-0.09221124458656504,-0.029368749890636536,-0.22999992100136524,-0.17849501983693017,-0.24279376589117874,-0.03165428348648902,-0.26518604517906397,-0.26518604517906397,-0.40863280121999423,-0.3607995138589217,-0.41306782854320545,-0.45029507531251056,0.2194788895134252,0.10519074205615198,0.18370378677957433,0.06415247749833952,-0.051352785172639415,0.3209866461221509,-0.21592815569397317,-0.11817293001416829,0.003123982002989578,C O4,13,5.421058468842941,C10 H18,4,4.6030740185855645,C6 H10,4,1.8643040468318954,C10 H26,4,5.222500329962631,C14 O4,13,115.08925213188142,C10 H26,4,3.3235739571340575,C14 H18,4,10.335092421904541,C14 H26,4,12.141574710275064,C14 H26,2,6.070787355137532,C14 H26 O4,0,8.075270066425567,C14 H26 O4,0,5.382516850761062,C14 H26 O4,0,7.383230775802896,C14 H26 O4,0,3.2715228405216954,C14 H26 O4,0,15.163560612483526,C2 H2 O4,6,3.210529234421471,C5 H2 O4,3,2.859461489005561,C5 H2 O,3,1.2989309471639967,C4 H14 O2,2,1.1469678304473008,C8 H2 O4,6,10.104938915746775,C6 H26,4,2.455398436828463,C6 H18,4,2.145671005807888,C2 H2,4,0.4482221608196077
5,DiAcids_05,Pimelic acid,Heptanedioic acid,C7 H12 O4,160.07334,2.942,1.0,C(CCC(=O)O)CCC(=O)O,C(CCC(=O)O)CCC(=O)O,0.5,DiAcids,0.10540005685115261,-0.016989035713521616,0.02197326669866584,-0.10241791795985478,0.16951367460279698,-0.11035009277281915,0.020556237480349182,-0.12423329014640672,-0.12423329014640672,-0.21317017777244018,-0.18351357332747398,-0.2159198915864522,-0.23900075834094991,0.17625862770998424,0.10540005685115261,0.15407808923379207,0.07995636175425602,0.00834318032090664,0.23919336525193557,-0.09369343338883596,-0.03308526237753995,0.04211873756773343,C O4,6,5.421058468842941,C3 H4,4,1.3339069274568662,C O,3,0.6358692151823059,C3 H12,4,1.7179513150984818,C7 O4,6,73.41535174555425,C3 H12,4,1.0932959099547583,C7 H4,4,4.887759027732068,C7 H12,4,6.007778264048236,C7 H12,2,3.003889132024118,C7 H12 O4,0,5.006668413562482,C7 H12 O4,0,3.3371610956042836,C7 H12 O4,0,4.577603970044945,C7 H12 O4,0,2.028344555061843,C7 H12 O4,0,9.401409405650522,C O4,3,2.7105292344214704,C4 H4 O4,1,2.632866828746865,C4 H4 O3,1,1.665337704894779,C2 H6 O3,1,0.9511204338175039,C4 O4,3,6.98506406702922,C H12 O,3,1.0023478081564412,C H6 O,3,0.8103167636280488,C O2,2,0.7578982753380663
6,DiAcids_06,Suberic acid,Octanedioic acid,C8 H14 O4,174.08898,3.499,1.0,C(CCCC(=O)O)CCC(=O)O,C(CCCC(=O)O)CCC(=O)O,1.0,DiAcids,0.10541011007305201,-0.027695079633815567,0.014678669082798024,-0.12060391112817115,0.2626949791117852,-0.12923060825573884,0.013137568164665936,-0.14432938529071748,-0.14432938529071748,-0.24105337475197075,-0.2088001087297755,-0.24404384695162662,-0.2691456193692261,0.18247288845370235,0.10541011007305201,0.15835027491186793,0.07773862569689527,-0.00014483516102359317,0.2509180415644323,-0.11111553148924713,-0.04520065352755864,0.03658802934990035,C O4,7,5.421058468842941,C4 H6,4,1.8009307976181088,C2 H2 O,3,0.9542170482751045,C4 H14,4,2.218601174364789,C8 O4,7,79.36876608645812,C4 H14,4,1.411907059551801,C8 H6,4,5.6659495126138495,C8 H14,4,6.884034899223497,C8 H14,2,3.4420174496117486,C8 H14 O4,0,5.4450400782572075,C8 H14 O4,0,3.6293547749123944,C8 H14 O4,0,4.978407799438937,C8 H14 O4,0,2.2059414529846784,C8 H14 O4,0,10.224573863769521,C2 H2 O4,3,3.210529234421471,C5 H6 O4,1,2.950951780212393,C5 H6 O3,1,1.8987081680760958,C3 H8 O3,1,1.121955776193189,C5 H2 O4,3,7.859331902560299,H14,4,0.3527836122524443,H6,4,0.1439387982251689,C2 H2 O2,2,0.9993731161211437
7,DiAcids_07,Adipic acid,Hexanedioic acid,C6 H10 O4,146.05776,2.284,1.0,C(CCC(=O)O)CC(=O)O,C(CCC(=O)O)CC(=O)O,0.1,DiAcids,0.10533007062608135,-0.006342970671283865,0.029207900040631785,-0.08429193569071458,0.07627283595041945,-0.09152959116235593,0.027914941991014075,-0.10419721407834004,-0.10419721407834004,-0.18534703320517565,-0.15828707922136687,-0.1878559896642571,-0.20891595940699403,0.16998446052286909,0.10533007062608135,0.14974598879842915,0.08211415527142663,0.016771226420019048,0.22740880608574798,-0.07633134291745591,-0.02102985613890951,0.04758948906277283,C O4,5,5.421058468842941,C2 H2,4,0.8668830572956238,C2 H2 O2,2,1.3175213820895073,C2 H10,4,1.217301455832175,C6 O4,5,67.46193740465036,C2 H10,4,0.7746847603577156,C6 H2,4,4.109568542850287,C6 H10,4,5.131521628872974,C6 H10,2,2.565760814436487,C6 H10 O4,0,4.568296748867755,C6 H10 O4,0,3.0449674162961715,C6 H10 O4,0,4.176800140650951,C6 H10 O4,0,1.8507476571390062,C6 H10 O4,0,8.57824494753152,C2 H2 O4,2,3.210529234421471,C3 H2 O4,1,2.3147818772813364,C3 H2 O3,1,1.4319672417134621,C H4 O3,1,0.7802850914418187,C4 H2 O4,2,7.110796231498139,H10 O,3,0.6519120040604384,H4 O,3,0.476694729030929,C3 H4 O3,1,1.5164234345549892
8,DiAcids_08,Phthalic acid,Phthalic acid,C8 H6 O4,166.0264,3.425,1.0,C1=CC=C(C(=C1)C(=O)O)C(=O)O,C1=CC=C(C(=C1)C(=O)O)C(=O)O,0.7,DiAcids,0.15898732417775818,0.03204663288099141,0.0724579268866421,-0.05655931346450416,0.26267487855926674,-0.06478648251317054,0.07098819894935104,-0.07918599014152505,-0.07918599014152505,-0.17143040310722313,-0.1406708820513245,-0.1742823776182263,-0.1982216120724445,0.2324810954005727,0.15898732417775818,0.20947567205362816,0.13259738879165184,0.058320943345307796,0.29775634928756745,-0.04751036899202177,0.015351794336282865,0.09335259932052509,C5 O4,3,8.845801508176905,C5 O,3,2.5322720655106625,C6 H2 O3,1,2.7710852413755225,C4 H6,4,1.9305988579653741,C8 O4,3,79.36876608645812,C4 H6,4,1.2286237780002942,C8 O,3,6.218290019461526,C8 H6,4,6.379962170509128,C8 H6,2,3.189981085254564,C8 H6 O4,0,5.192863726782809,C8 H6 O4,0,3.461268327027784,C8 H6 O4,0,4.74784260671844,C8 H6 O4,0,2.1037776012618714,C8 H6 O4,0,9.751042779463681,C6 H2 O4,1,4.922900754088452,C8 H6 O4,0,3.7679711977987296,C8 H6 O4,0,2.764460184717186,C3 O3,1,1.0236815563638106,C7 H2 O4,1,9.356403244684618,H6,4,0.151192976679619,C2 O,3,0.9520204005916103,C5 O3,1,1.8604630331349556
9,DiAcids_09,Glutaric acid,Pentanedioic acid,C5 H8 O4,132.04209,1.205,1.0,C(CC(=O)O)CC(=O)O,C(CC(=O)O)CC(=O)O,-0.3,DiAcids,0.10534998390579631,0.004393062688023974,0.03653247979343632,-0.06607593707275328,-0.01687870148685988,-0.07261906874322221,0.03536359370926334,-0.08407110939589302,-0.08407110939589302,-0.15743381001948364,-0.13297052317099656,-0.1597020075775788,-0.1787410673315435,0.1638001530008637,0.10534998390579631,0.14550376049902525,0.08436186259891088,0.025289226593400826,0.21571407120009667,-0.05887924100252917,-0.008884472533225107,0.05315017564203117,C O4,4,5.421058468842941,C,4,0.39985918713438107,C O2,2,0.9991735489967087,C H8,4,0.716651596565868,C5 O4,4,61.50852306374649,C H8,4,0.4560736107606728,C5,4,3.3313780579685046,C5 H8,4,4.255264993697714,C5 H8,2,2.127632496848857,C5 H8 O4,0,4.1299250841730295,C5 H8 O4,0,2.7527737369880607,C5 H8 O4,0,3.775996311256959,C5 H8 O4,0,1.6731507592161703,C5 H8 O4,0,7.755080489412521,C O4,2,2.7105292344214704,C2 O4,1,1.996696925815809,C2 O3,1,1.1985967785321452,H2 O3,1,0.6094497490661333,C3 O4,2,6.236528395967062,C H8 O2,2,1.3014761999644353,C H4 O2,2,1.1430726944338092,C2 H2 O3,1,1.2749485937719118
