,spectrum_id,label,compound_id,parent_full_mw,ms1_rt,ms2_rt,ms2_max_intensity,parent_mz,parent_intensity,parent_fromms1_mz,parent_fromms1_intensity,scan_type,mzml_file,mzml_file_short,spectrum_folder
0,AcidMix100_1o5kV_01_0224,1,DiAcids_10,118.026586597559,0.79820301,0.80269626,661429.5625,117.019309997559,2027667.125,117.0193099975586,2027667.125,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_0270,1,DiAcids_10,118.026533191797,0.96003431,0.96452775,527593.75,117.019256591797,1946379.375,117.01931762695312,1946379.375,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_0278,1,DiAcids_11,104.010816639063,0.98731568,0.99180907,48719.13671875,103.003540039063,774814.125,103.00362396240234,774814.125,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_0324,1,DiAcids_11,104.010908191797,1.1463615,1.1508527,103424.1015625,103.003631591797,1347836.125,103.00357818603516,1347836.125,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_0334,1,DiAcids_09,132.042158191797,1.1829117,1.1874027,2784261.5,131.034881591797,12283746.0,131.034912109375,12283746.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_0380,1,DiAcids_09,132.042097156641,1.34022,1.3468211,384303.4375,131.034820556641,1901610.875,131.03489685058594,1901610.875,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_0642,1,DiAcids_07,146.057749603019,2.25996,2.264451,3299583.5,145.050473003019,18516908.0,145.05056762695312,18516908.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_0688,1,DiAcids_07,146.05781885504902,2.4174038,2.4218949,382633.875,145.050542255049,3520021.25,145.05052185058594,3520021.25,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_0838,1,DiAcids_05,160.073436260502,2.9293875,2.9338787,16363943.0,159.066159660502,65035000.0,159.06617736816406,65035000.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_0884,1,DiAcids_05,160.07343234160302,3.0883728,3.0928642,585946.4375,159.066155741603,2777085.5,159.066162109375,2777085.5,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_0934,1,DiAcids_08,166.02648741543,3.2602774,3.267145,259457.796875,165.01921081543,1419610.625,165.0192413330078,1419610.625,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_0980,1,DiAcids_08,166.026456897852,3.4186043,3.4230977,805704.625,165.019180297852,4359601.5,165.0192413330078,4359601.5,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_0998,1,DiAcids_06,174.089048450586,3.4828437,3.4873353,8334859.0,173.081771850586,33075158.0,173.08169555664062,33075158.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_1026,1,DiAcids_08,166.026456897852,3.5777711,3.5822626,638723.875,165.019180297852,3732220.75,165.01919555664062,3732220.75,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_1044,1,DiAcids_06,174.088956897852,3.6397877,3.644281,526919.5625,173.081680297852,2444844.5,173.0817413330078,2444844.5,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_1138,1,DiAcids_02,188.10461887904802,3.9594881,3.963979,17139478.0,187.097342279048,45611328.0,187.097412109375,45611328.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_1186,1,DiAcids_02,188.104611621884,4.1222194,4.1267127,1209079.125,187.097335021884,4307870.0,187.09747314453125,4307870.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_1258,1,DiAcids_01,202.12039000332,4.3719817,4.376473,22010508.0,201.11311340332,93825152.0,201.1130828857422,93825152.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_1306,1,DiAcids_01,202.12032896816402,4.535234,4.5397251,901229.8125,201.113052368164,10726501.0,201.11305236816406,4577133.5,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_1436,1,DiAcids_00,230.151700561597,4.97648,4.9809713,16730686.0,229.144423961597,40129704.0,229.14422607421875,40129704.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_1482,1,DiAcids_00,230.151645866363,5.1350613,5.1395526,1268104.625,229.144369266363,4745879.5,229.14430236816406,4745879.5,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_1568,1,DiAcids_04,258.183058347999,5.4295364,5.4340278,11631540.0,257.175781747999,22313742.0,257.1755065917969,22313742.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_1616,1,DiAcids_04,258.183149402734,5.5922824,5.5967738,593231.5625,257.175872802734,2439490.0,257.1757507324219,2439490.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_1674,1,DiAcids_03,286.213915524407,5.789914,5.7944071,11123150.0,285.206638924407,21593764.0,285.20703125,21593764.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_1o5kV_01_1722,1,DiAcids_03,286.21434973785404,5.9526597,5.9571531,291593.34375,285.207073137854,759954.625,285.20684814453125,759954.625,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_1o5kV_01.mzML,AcidMix100_1o5kV_01,DiAcids
0,AcidMix100_3o0kV_01_0230,1,DiAcids_10,118.02654845058599,0.80046083,0.80495212,3132826.0,117.019271850586,8741083.0,117.01921844482422,8741083.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_3o0kV_01.mzML,AcidMix100_3o0kV_01,DiAcids
0,AcidMix100_3o0kV_01_0278,1,DiAcids_10,118.026495044824,0.9631923,0.96768523,1233875.25,117.019218444824,4113815.25,117.0191879272461,4113815.25,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_3o0kV_01.mzML,AcidMix100_3o0kV_01,DiAcids
0,AcidMix100_3o0kV_01_0282,1,DiAcids_11,104.010838810736,0.9767547,0.98124578,52495.22265625,103.003562210736,1614926.0,103.00341796875,1614926.0,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_3o0kV_01.mzML,AcidMix100_3o0kV_01,DiAcids
0,AcidMix100_3o0kV_01_0330,1,DiAcids_11,104.010801380273,1.1394879,1.1439791,215113.90625,103.003524780273,2834111.25,103.00367736816406,2834111.25,negative,SN51_2019-03-20_HyFlexFuel_AcidMix100_10min_700uLmin_50-750_ESI_RP-MS_CB_neg_3o0kV_01.mzML,AcidMix100_3o0kV_01,DiAcids
