,spectrum_id,mz,intensity,formula,formula_massdiff,formula_massdiff_ppm,n_averaged,rel_intensity,min_intensity,max_intensity,cluster
0,DiAcids_AvSpec_0,55.01863098144531,4063.030476888021,C3 H3 O,0.0002488945798333,4.421039513811728,3.0,0.0015894141121104,0.0020074763867351,0.0028314360869326,4.0
1,DiAcids_AvSpec_0,73.02938079833984,1028996.306640625,C3 H5 O2,0.0004569156279785,3.196625671965185,8.0,0.4025323611002909,0.1997328281892583,1.0,5.0
2,DiAcids_AvSpec_0,99.00865936279295,101507.48950195312,C4 H3 O3,0.0005395895218782,3.66978062139828,8.0,0.0397086453614011,0.0192835677420501,0.1093666389079789,0.0
3,DiAcids_AvSpec_0,99.92570495605467,171890.7880859375,,-1.0,-1.0,8.0,0.0672418397744426,0.0672229472287959,0.2046569588376134,2.0
4,DiAcids_AvSpec_0,116.92840480804443,956541.2109375,,-1.0,-1.0,8.0,0.3741887017898475,0.4063003738477656,1.0,1.0
5,DiAcids_AvSpec_0,117.0191888809204,285312.427734375,C4 H5 O4,0.0005187287340646,4.511772519375266,8.0,0.1116111733793466,0.060446885010696,0.28827675912206,3.0
6,DiAcids_AvSpec_0,117.02357482910156,7995.781982421875,,-1.0,-1.0,2.0,0.0031278644825607,0.003192126830436,0.0037398427642867,9.0
7,DiAcids_AvSpec_1,51.85727310180664,374.3272705078125,,-1.0,-1.0,1.0,0.0063013973208603,-1.0,-1.0,12.0
8,DiAcids_AvSpec_1,53.21820831298828,495.7291259765625,,-1.0,-1.0,1.0,0.008345067090793,-1.0,-1.0,16.0
9,DiAcids_AvSpec_1,53.534549713134766,447.3681335449219,,-1.0,-1.0,1.0,0.0075309617552948,-1.0,-1.0,11.0
10,DiAcids_AvSpec_1,57.842994689941406,400.3206787109375,,-1.0,-1.0,1.0,0.0067389684136343,-1.0,-1.0,5.0
11,DiAcids_AvSpec_1,59.01357269287109,48719.13671875,C2 H3 O2,0.0002683570410866,4.398138573440326,1.0,0.8201343096849056,-1.0,-1.0,14.0
12,DiAcids_AvSpec_1,59.83867645263672,387.8694152832031,,-1.0,-1.0,1.0,0.0065293647748227,-1.0,-1.0,17.0
13,DiAcids_AvSpec_1,63.06637573242188,374.4330139160156,,-1.0,-1.0,1.0,0.0063031773974982,-1.0,-1.0,13.0
14,DiAcids_AvSpec_1,63.69217300415039,407.5277099609375,,-1.0,-1.0,1.0,0.0068602910395506,-1.0,-1.0,8.0
15,DiAcids_AvSpec_1,63.87263870239258,422.0458984375,,-1.0,-1.0,1.0,0.0071046891402977,-1.0,-1.0,10.0
16,DiAcids_AvSpec_1,65.60958862304688,478.6895751953125,,-1.0,-1.0,1.0,0.0080582245652779,-1.0,-1.0,9.0
17,DiAcids_AvSpec_1,68.4710922241211,376.7657165527344,,-1.0,-1.0,1.0,0.0063424459395027,-1.0,-1.0,15.0
18,DiAcids_AvSpec_1,73.60694122314453,364.5740661621094,,-1.0,-1.0,1.0,0.0061372126071726,-1.0,-1.0,7.0
19,DiAcids_AvSpec_1,74.1339111328125,378.64251708984375,,-1.0,-1.0,1.0,0.0063740398596045,-1.0,-1.0,6.0
20,DiAcids_AvSpec_1,98.50123596191406,426.6097106933594,,-1.0,-1.0,1.0,0.0071815160150348,-1.0,-1.0,3.0
21,DiAcids_AvSpec_1,103.00360107421876,3985.5673828125,C3 H3 O4,0.0004674992487565,4.406578250047932,1.0,0.0670927437215367,-1.0,-1.0,2.0
25,DiAcids_AvSpec_2,51.5722770690918,879.1090698242188,,-1.0,-1.0,1.0,0.0069047699894002,-1.0,-1.0,9.0
26,DiAcids_AvSpec_2,54.74549102783203,920.490478515625,,-1.0,-1.0,1.0,0.0072297912167534,-1.0,-1.0,14.0
27,DiAcids_AvSpec_2,56.81139373779297,798.4724731445312,,-1.0,-1.0,1.0,0.0062714274703512,-1.0,-1.0,15.0
28,DiAcids_AvSpec_2,59.01355743408203,103424.1015625,C2 H3 O2,0.0002530982520312,4.663292374441117,1.0,0.8123219941209658,-1.0,-1.0,16.0
29,DiAcids_AvSpec_2,60.06166076660156,952.9824829101562,,-1.0,-1.0,1.0,0.0074849925615463,-1.0,-1.0,11.0
30,DiAcids_AvSpec_2,63.837547302246094,824.687744140625,,-1.0,-1.0,1.0,0.0064773295849478,-1.0,-1.0,12.0
31,DiAcids_AvSpec_2,65.46001434326172,847.1617431640625,,-1.0,-1.0,1.0,0.0066538466967891,-1.0,-1.0,17.0
32,DiAcids_AvSpec_2,66.23733520507812,926.443115234375,,-1.0,-1.0,1.0,0.0072765449004364,-1.0,-1.0,7.0
33,DiAcids_AvSpec_2,68.06759643554688,891.49560546875,,-1.0,-1.0,1.0,0.0070020573255531,-1.0,-1.0,10.0
34,DiAcids_AvSpec_2,74.06382751464844,1119.8358154296875,,-1.0,-1.0,1.0,0.0087955055826924,-1.0,-1.0,18.0
35,DiAcids_AvSpec_2,77.0482406616211,957.4119262695312,,-1.0,-1.0,1.0,0.0075197826560037,-1.0,-1.0,5.0
36,DiAcids_AvSpec_2,80.0245361328125,879.107666015625,,-1.0,-1.0,1.0,0.0069047589634925,-1.0,-1.0,4.0
37,DiAcids_AvSpec_2,90.58683013916016,995.5664672851562,,-1.0,-1.0,1.0,0.0078194591566872,-1.0,-1.0,13.0
38,DiAcids_AvSpec_2,92.22132873535156,999.4489135742188,,-1.0,-1.0,1.0,0.0078499529822458,-1.0,-1.0,8.0
39,DiAcids_AvSpec_2,92.82051849365234,914.5237426757812,,-1.0,-1.0,1.0,0.0071829267946062,-1.0,-1.0,3.0
40,DiAcids_AvSpec_2,94.59193420410156,898.36572265625,,-1.0,-1.0,1.0,0.0070560171589892,-1.0,-1.0,1.0
41,DiAcids_AvSpec_2,96.53547668457033,970.2788696289062,,-1.0,-1.0,1.0,0.0076208432495213,-1.0,-1.0,6.0
42,DiAcids_AvSpec_2,103.00345611572266,8102.12451171875,C3 H3 O4,0.0003225407526485,6.387004139470385,1.0,0.0636363656105676,-1.0,-1.0,2.0
44,DiAcids_AvSpec_3,59.01360066731771,2692.388997395833,C2 H3 O2,0.0003255775000781,3.625166352046548,3.0,0.0017507287121712,0.0031498514522555,0.0107299362775236,13.0
45,DiAcids_AvSpec_3,69.03453480113636,96800.42622514204,C4 H5 O,0.000460341350319,2.999274346057676,11.0,0.0629445766219863,0.0678362323147968,0.1106335695803921,1.0
46,DiAcids_AvSpec_3,87.0450141213157,1051925.6761363635,C4 H7 O2,0.0003937041953179,4.421847630993869,11.0,0.6840157518335658,1.0,1.0,11.0
47,DiAcids_AvSpec_3,113.0243121060458,104388.44371448865,C5 H5 O3,0.0004611193001551,4.9021730429038985,11.0,0.0678786927916432,0.0818706621739876,0.1065865646574931,6.0
48,DiAcids_AvSpec_3,115.92063598632812,2605.633276367188,,-1.0,-1.0,5.0,0.0016943157154249,0.006663989677753,0.0155691483957358,2.0
49,DiAcids_AvSpec_3,130.88915100097657,3317.622412109375,,-1.0,-1.0,5.0,0.002157287382559,0.0059703303207615,0.0163571540577334,0.0
50,DiAcids_AvSpec_3,131.03478310324928,276137.4289772727,C5 H7 O4,0.0003868527506369,6.774402939665248,11.0,0.1795586469426494,0.2234290271945479,0.2741892392973976,5.0
51,DiAcids_AvSpec_4,81.03449535369873,115079.17050170898,C5 H5 O,0.0004450825612565,3.641323741577752,16.0,0.0324212877452536,0.0724566692035858,0.0939412678423656,1.0
52,DiAcids_AvSpec_4,83.05017185211182,1350302.4521484375,C5 H7 O,0.0004505356793771,3.686728673550349,16.0,0.3804210975223876,0.8931097228663122,1.0,4.0
53,DiAcids_AvSpec_4,100.91399765014648,2889.605712890625,,-1.0,-1.0,6.0,0.0008140894471129,0.0016162724561147,0.017759866011119,6.0
54,DiAcids_AvSpec_4,101.06067514419556,1353501.8134765625,C5 H9 O2,0.0003991573134385,5.063700465159341,16.0,0.3813224545079129,0.9591052291823328,1.0,5.0
55,DiAcids_AvSpec_4,127.03994131088255,66421.57843017578,C6 H7 O3,0.0004589430237587,5.536198240334782,16.0,0.0187129703611018,0.0317412205258824,0.0571118049456419,3.0
56,DiAcids_AvSpec_4,144.869504292806,23656.04252115885,,-1.0,-1.0,12.0,0.0066646236512545,0.0040551367738387,0.2940687416671931,13.0
57,DiAcids_AvSpec_4,145.05052089691162,637643.4660644531,C6 H9 O4,0.0004533410249791,6.399179827858558,16.0,0.1796434767649764,0.4222681050437625,0.5144385448521376,10.0
58,DiAcids_AvSpec_5,69.03446502685547,35683.07099609375,C4 H5 O,0.000521376506569,2.6481653963089284,10.0,0.0035427349070003,0.0017202456038891,0.007307584635164,18.0
59,DiAcids_AvSpec_5,73.02931518554688,9504.25703125,C3 H5 O2,0.000411139260791,3.5525366951838784,5.0,0.0009436144986903,0.0006816811618879,0.0016902556234884,6.0
60,DiAcids_AvSpec_5,81.03453254699707,7703.877838134766,C5 H5 O,0.0005595234792252,2.8965575999205875,4.0,0.0007648668170801,0.0012926919315654,0.0045373763549099,17.0
61,DiAcids_AvSpec_5,83.05014092581612,22759.376002720423,C5 H7 O,0.0005192002301583,3.1991591768006136,14.0,0.0022596271446258,0.0022632667902839,0.0208845362899866,20.0
62,DiAcids_AvSpec_5,93.03445434570312,8844.72783203125,C6 H5 O,0.0002314595143815,8.038923911927089,5.0,0.0008781342288864,0.0007103424733416,0.0047746057667063,8.0
63,DiAcids_AvSpec_5,95.05010896570542,481947.0394071691,C6 H7 O,0.0005344590192208,3.556876051703988,17.0,0.0478493176784073,0.0687747371993476,0.1005670567564559,7.0
64,DiAcids_AvSpec_5,97.06572454115924,5461068.849264706,C6 H9 O,0.0004865063756227,3.9903208376978174,17.0,0.5421932222128597,1.0,1.0,10.0
65,DiAcids_AvSpec_5,115.07628855985752,1524533.3184742648,C6 H11 O2,0.0004503867987608,5.110112254492182,17.0,0.1513607784720971,0.253267065066722,0.3008787849202838,15.0
66,DiAcids_AvSpec_5,130.406494140625,13421.271362304688,,-1.0,-1.0,4.0,0.0013325088122814,0.0007777483348687,0.0012811711982248,3.0
67,DiAcids_AvSpec_5,141.0556703455308,108252.24734317556,C7 H9 O3,0.0004949137199901,5.700212314393673,17.0,0.0107476460046246,0.005647846528091,0.0286066262970781,5.0
68,DiAcids_AvSpec_5,158.84656524658203,11240.7265625,,-1.0,-1.0,10.0,0.0011160170148296,0.0006389015136941,0.0728587150857163,2.0
69,DiAcids_AvSpec_5,159.06609658633965,2387223.304227941,C7 H11 O4,0.0003977589868782,7.99811628846988,17.0,0.2370115322086171,0.4103196540545894,0.525507893765879,9.0
