,compound_id,compound_name,compound_name_iupac,compound_sf,compound_mw,compound_rt,compound_mq,compound_iso_smiles,compound_can_smiles,compound_xlogp,compound_folder,KMD-CH2,KMD-OCH2,KMD-C2H4O,KMD-CO,KMD-H2,KMD-COO,KMD-H2O,KMD-O,KMD-O2,KMD-S,KMD-OS,KMD-Cl,KMD-Br,KMD-NH3,KMD-C2H4,KMD-C3H8,KMD-C3H8O,KMD-C5H6O,KMD-CH4,KMD-C2O,KMD-C2H2O,KMD-C3H6O,KMDrem-CH2,KMDn-CH2,KMDrescaled-CH2,KMDrem-OCH2,KMDn-OCH2,KMDrescaled-OCH2,KMDrem-C2H4O,KMDn-C2H4O,KMDrescaled-C2H4O,KMDrem-CO,KMDn-CO,KMDrescaled-CO,KMDrem-H2,KMDn-H2,KMDrescaled-H2,KMDrem-COO,KMDn-COO,KMDrescaled-COO,KMDrem-H2O,KMDn-H2O,KMDrescaled-H2O,KMDrem-O,KMDn-O,KMDrescaled-O,KMDrem-O2,KMDn-O2,KMDrescaled-O2,KMDrem-S,KMDn-S,KMDrescaled-S,KMDrem-OS,KMDn-OS,KMDrescaled-OS,KMDrem-Cl,KMDn-Cl,KMDrescaled-Cl,KMDrem-Br,KMDn-Br,KMDrescaled-Br,KMDrem-NH3,KMDn-NH3,KMDrescaled-NH3,KMDrem-C2H4,KMDn-C2H4,KMDrescaled-C2H4,KMDrem-C3H8,KMDn-C3H8,KMDrescaled-C3H8,KMDrem-C3H8O,KMDn-C3H8O,KMDrescaled-C3H8O,KMDrem-C5H6O,KMDn-C5H6O,KMDrescaled-C5H6O,KMDrem-CH4,KMDn-CH4,KMDrescaled-CH4,KMDrem-C2O,KMDn-C2O,KMDrescaled-C2O,KMDrem-C2H2O,KMDn-C2H2O,KMDrescaled-C2H2O,KMDrem-C3H6O,KMDn-C3H6O,KMDrescaled-C3H6O,Kat-3_neg,Kat-3_pos,Kat-6_neg,Kat-6_pos,CV_Kat-3_neg,CV_Kat-3_pos,CV_Kat-6_neg,CV_Kat-6_pos,Kat-3,Kat-6,CV_Kat-3,CV_Kat-6,rt_predicted,rt_predicted_sd
0,Fallopia_000,Acetone,Propan-2-one,C3 H6 O,58.04181,1.061,0.0,CC(=O)C,CC(=O)C,-0.1,Fallopia,0.0230002702120444,-0.0213774160204778,-0.0072498757706824,-0.0523535108021135,0.4088426623302652,-0.0552296785848511,-0.0077636836330725,-0.0602636580354456,-0.0602636580354456,-0.0925117384064933,-0.0817583987158343,-0.0935087711837709,-0.1018777805565989,0.0486932413630185,0.0230002702120444,0.0406506866194646,0.0137745108412943,-0.0121920784124185,0.0715130693169427,-0.0491900553771245,-0.0272138290655803,5.477341415627279e-05,O,3,1.1412181772523626,C2 H4,1,0.9340477403224852,C H2,1,0.3183478330927985,C2 H6,1,1.0733002976324677,C3 O,3,25.79560586251841,C2 H6,1,0.6830431195819622,C3 H4,1,2.2226565813572643,C3 H6,1,2.6287699055257834,C3 H6 O,0,1.8143849527628917,C3 H6 O,0,1.815392706226178,C3 H6 O,0,1.210037776028998,C3 H6 O,0,1.6598161037987582,C3 H6 O,0,0.7354675019016811,C3 H6 O,0,3.408903616830496,C H2 O,1,1.0706090886261812,C3 H6 O,0,1.3172591829194802,C3 H6 O,0,0.9664380041602726,C3 H6 O,0,0.7074664251633187,C2 H2 O,1,2.6205338522883843,C H6,1,0.4512311218824157,C H4,1,0.3816016340055095,,1,0.0,,,,,,,,,,,,,1.478710786236464,0.06338361361118201
1,Fallopia_001,4-hydroxybutanoic acid,4-hydroxybutanoic acid,C4 H8 O3,104.04737,1.061,0.903,C(CC(=O)O)CO,C(CC(=O)O)CO,-0.6,Fallopia,0.0688107008525804,-0.0107419791754637,0.014583444128192,-0.0662705919961297,-0.2395174485554037,-0.0714264907090012,0.0136623778008697,-0.0804505428960311,-0.0804505428960311,-0.1382593526170836,-0.1189826154937918,-0.1400466614256714,-0.1550491814151087,0.1148686386692077,0.0688107008525804,0.1004513303677043,0.0522723468836119,0.0057239136125133,0.1557760997297492,-0.0605996934303902,-0.021204496239946,0.0276779623117988,O3,4,3.423654531757088,C H2,3,0.4670238701612426,O,2,0.3633043338144028,C H8,3,0.716651596565868,C4 O3,4,47.61974588303584,C H8,3,0.4560736107606728,C4 H2,3,2.7770173196628845,C4 H8,3,3.505026540701045,C4 H8 O,1,2.2525132703505224,C4 H8 O3,0,3.2543197952049034,C4 H8 O3,0,2.169144931546438,C4 H8 O3,0,2.975429164426311,C4 H8 O3,0,1.3184180160908632,C4 H8 O3,0,6.110888559896486,O3,2,1.711827265878544,C O3,1,1.3613527914308006,C O2,1,0.7324616965742335,C4 H8 O3,0,1.26822256361153,C2 O3,2,4.4902623792097565,H8 O,2,0.601514345167232,H4 O,2,0.476694729030929,C H2 O2,1,0.7926257960846134,,,,,,,,,,,,,1.2781032825401766,0.08059933016896403
2,Fallopia_002,DL-Lactic Acid,2-hydroxypropanoic acid,C3 H6 O3,90.03166,0.649,0.941,CC(C(=O)O)O,CC(C(=O)O)O,-0.7,Fallopia,0.068870569467748,3.404010257668233e-05,0.0219480000636167,-0.0480145861120178,-0.332629296563752,-0.052475959041601,0.0211510060557884,-0.060284425496107,-0.060284425496107,-0.1103060944898715,-0.0936260319126631,-0.1118526437103639,-0.1248342479434398,0.1087242687761147,0.068870569467748,0.0962490452398014,0.0545600159045704,0.014281893374445,0.1441212867465537,-0.0431075864294143,-0.0090191226933029,0.0332786200395816,O3,3,3.423654531757088,,3,0.0,C H2 O2,1,1.0449565007216042,H6,3,0.216001737299561,C3 O3,3,41.66633154213196,H6,3,0.13746246116363,C3,3,1.998826834781103,C3 H6,3,2.6287699055257834,C3 H6 O,1,1.8143849527628917,C3 H6 O3,0,2.815948130510177,C3 H6 O3,0,1.8769512522383265,C3 H6 O3,0,2.5746253350323176,C3 H6 O3,0,1.140821118168027,C3 H6 O3,0,5.287724101777485,C H2 O3,1,2.211827265878544,C3 H6 O3,0,2.0432678399652726,C3 H6 O3,0,1.4990912333929167,C3 H6 O3,0,1.0973872212358444,C2 H2 O3,1,4.615994543678678,C H6 O2,1,1.251078541071229,C H4 O2,1,1.1430726944338092,O2,1,0.551150955301536,,,,,,,,,,,,,1.243423511843283,0.08417548605430508
4,Fallopia_004,None,None,C4 H8 O,72.05754,2.284,0.0,None,None,,Fallopia,0.0229204239291505,-0.0321734282578773,-0.014634419797403,-0.0706295203193008,-0.4980653343758661,-0.0742002148763987,-0.0152723001563543,-0.0804497817941296,-0.0804497817941296,-0.1204850140044868,-0.1071349960623564,-0.121722806713393,-0.1321127347263768,0.0548176424416197,0.0229204239291505,0.0448330001615886,0.0114668609736128,-0.0207700479686252,0.0831479213488961,-0.0667021649211108,-0.0394191975826885,-0.005565869887917,O,4,1.1412181772523626,C3 H6,1,1.4010716104837275,C2 H4,1,0.636695666185597,C3 H8,1,1.5739501568987746,C4 O,4,31.749020203422297,C3 H8,1,1.001654269179005,C4 H6,1,3.000847066239046,C4 H8,1,3.505026540701045,C4 H8 O,0,2.2525132703505224,C4 H8 O,0,2.2537643709209045,C4 H8 O,0,1.5022314553371094,C4 H8 O,0,2.0606199331927515,C4 H8 O,0,0.9130643998245171,C4 H8 O,0,4.232068074949496,O,2,0.5706090886261813,C O,1,0.6353441343850083,C,1,0.1998084673415894,C4 H8 O,0,0.878301767539004,C2 O,2,2.494801687819463,C2 H8,1,0.8016669259784188,C2 H6,1,0.7152236686026294,C H2,1,0.2414748407830773,,,,,,,,,,,,,,
5,Fallopia_005,2-Hydroxyisovaleric acid,2-hydroxy-3-methylbutanoic acid,C5 H10 O3,118.06303,2.364,0.8109999999999999,CC(C)C(C(=O)O)O,CC(C)C(C(=O)O)O,0.5,Fallopia,0.0688007764067464,-0.0214680160551097,0.0072688584210283,-0.0844765887975427,-0.146355988760888,-0.0903270108160541,0.0062237202168091,-0.1005666443990804,-0.1005666443990804,-0.1661625670674027,-0.1442891646614583,-0.1681906346051676,-0.1852140631414869,0.1210629305984554,0.0688007764067464,0.1047035444600084,0.0500346299795069,-0.0027840916636989,0.1674808150910109,-0.078041794073826,-0.0333398823604085,0.0221272685196822,O3,5,3.423654531757088,C2 H4,3,0.9340477403224852,C H2 O,2,0.6816521669072014,C2 H10,3,1.217301455832175,C5 O3,5,53.57316022393972,C2 H10,3,0.7746847603577156,C5 H4,3,3.555207804544666,C5 H10,3,4.381283175876305,C5 H10 O,1,2.6906415879381527,C5 H10 O3,0,3.692691459899629,C5 H10 O3,0,2.461338610854549,C5 H10 O3,0,3.3762329938203037,C5 H10 O3,0,1.4960149140136991,C5 H10 O3,0,6.934053018015486,C H2 O3,2,2.211827265878544,C2 H2 O3,1,1.6794377428963287,C2 H2 O2,1,0.9658321597555504,H4 O2,1,0.439057905987215,C3 H2 O3,2,5.364530214740836,C H10 O,2,0.9519501492632352,C H6 O,2,0.8103167636280488,C2 H4 O2,1,1.0341006368676908,,,,,,,,,,,,,1.7895704451805505,0.04757176748209067
6,Fallopia_006,Glycolic acid,2-hydroxyacetic acid,C2 H4 O3,76.01596,0.525,0.983,C(C(=O)O)O,C(C(=O)O)O,-1.1,Fallopia,0.0689204492490347,0.0108000629009268,0.0293025619533722,-0.0297685820444684,-0.4257510669293367,-0.0335354296862817,0.0286296401765469,-0.0401283112755521,-0.0401283112755521,-0.0823628450980322,-0.068279455214224,-0.0836686349022386,-0.0946293248208434,0.1025699144758078,0.0689204492490347,0.0920367743190126,0.0568376945021356,0.0228298782392215,0.1324564932877336,-0.0256254806999578,0.0031562533681039,0.0388692849802509,O3,2,3.423654531757088,O,2,0.5329761298387574,O2,1,0.7266086676288057,H4 O,2,0.7153518780332541,C2 O3,2,35.71291720122807,H4 O,2,0.4552464761711703,C2 O,2,2.220636349899321,C2 H4,3,1.7525132703505224,C2 H4 O,1,1.3762566351752612,C2 H4 O3,0,2.377576465815451,C2 H4 O3,0,1.5847575729302157,C2 H4 O3,0,2.1738215056383248,C2 H4 O3,0,0.963224220245191,C2 H4 O3,0,4.464559643658485,O3,1,1.711827265878544,C2 H4 O3,0,1.7251828884997449,C2 H4 O3,0,1.2657207702116,C2 H4 O3,0,0.9265518788601592,C O3,1,3.7417267081475982,H4 O2,1,0.900642736975226,H2 O2,1,0.8094506598366892,C2 H4 O3,0,1.309676114518459,,,,,,,,,,,,,1.120462649029235,0.09842389257911296
8,Fallopia_008,"2,2-Bis(hydroxymethyl)propionic acid",3-hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid,C5 H10 O4,134.05793,0.646,0.841,CC(CO)(CO)C(=O)O,CC(CO)(CO)C(=O)O,-1.3,Fallopia,0.0917608981192472,-0.0107372967943888,0.0218927814522942,-0.0822821219111631,-0.0170671623148166,-0.0889251452642554,0.0207060503966829,-0.1005520201809702,-0.1005520201809702,-0.1750347232706417,-0.1501979640531487,-0.1773375486005761,-0.1966672709622798,0.1511034053230844,0.0917608981192472,0.1325276882523667,0.070452358569554,0.0104778814725818,0.203809874994846,-0.0749755564211795,-0.0242175354611902,0.0387641738002457,O4,5,4.5648727090094505,C H2,4,0.4670238701612426,C H2 O2,2,1.0449565007216042,C H10,4,0.7886521756657217,C5 O4,5,61.50852306374649,C H10,4,0.5018944311485495,C5 H2,4,3.443292931256585,C5 H10,4,4.381283175876305,C5 H10,2,2.1906415879381527,C5 H10 O4,0,4.192969172041629,C5 H10 O4,0,2.7947953489592128,C5 H10 O4,0,3.8336376094370825,C5 H10 O4,0,1.6986917221468718,C5 H10 O4,0,7.87346326048898,C H2 O4,2,2.7824363545047253,C2 H2 O4,1,2.0424420714192246,C2 H2 O3,1,1.2321587743718725,H4 O3,1,0.6340183040234779,C3 H2 O4,2,6.362260560435981,C H10 O2,2,1.3518738588576418,C H6 O2,2,1.1910522938421988,C2 H4 O3,1,1.309676114518459,,,,,,,,,,,,,1.0675190747802767,0.10537769849753734
9,Fallopia_009,None,None,C4 H8 O,72.05753,2.069,0.0,None,None,,Fallopia,0.0229304127630172,-0.0321634317781871,-0.014624425751748,-0.0706195185027667,-0.4980554120186298,-0.0741902125643179,-0.0152623060221799,-0.0804397786147461,-0.0804397786147461,-0.1204750052690997,-0.1071249891796668,-0.1217127978062393,-0.1321027243773045,0.0548276268488621,0.0229304127630172,0.0448429859544745,0.0114768513969778,-0.0207600530714842,0.0831579018245207,-0.0666921636496056,-0.0394092000974524,-0.0055558771007611,O,4,1.1412181772523626,C3 H6,1,1.4010716104837275,C2 H4,1,0.636695666185597,C3 H8,1,1.5739501568987746,C4 O,4,31.749020203422297,C3 H8,1,1.001654269179005,C4 H6,1,3.000847066239046,C4 H8,1,3.505026540701045,C4 H8 O,0,2.2525132703505224,C4 H8 O,0,2.2537643709209045,C4 H8 O,0,1.5022314553371094,C4 H8 O,0,2.0606199331927515,C4 H8 O,0,0.9130643998245171,C4 H8 O,0,4.232068074949496,O,2,0.5706090886261813,C O,1,0.6353441343850083,C,1,0.1998084673415894,C4 H8 O,0,0.878301767539004,C2 O,2,2.494801687819463,C2 H8,1,0.8016669259784188,C2 H6,1,0.7152236686026294,C H2,1,0.2414748407830773,,,,,,,,,,,,,,
10,Fallopia_010,2-Hydroxyisovaleric acid,2-hydroxy-3-methylbutanoic acid,C5 H10 O3,118.06304,2.068,0.7929999999999999,CC(C)C(C(=O)O)O,CC(C)C(C(=O)O)O,0.5,Fallopia,0.0687907875728797,-0.0214780125347999,0.0072588643753732,-0.084486590614091,-0.1463659111181243,-0.0903370131281207,0.0062137260826347,-0.1005766475784497,-0.1005766475784497,-0.1661725758027898,-0.1442991715441621,-0.1682006435123355,-0.185224073490545,0.1210529461912131,0.0687907875728797,0.1046935586671224,0.0500246395561418,-0.00279408656084,0.1674708346154005,-0.0780517953453312,-0.0333498798456446,0.0221172757325547,O3,5,3.423654531757088,C2 H4,3,0.9340477403224852,C H2 O,2,0.6816521669072014,C2 H10,3,1.217301455832175,C5 O3,5,53.57316022393972,C2 H10,3,0.7746847603577156,C5 H4,3,3.555207804544666,C5 H10,3,4.381283175876305,C5 H10 O,1,2.6906415879381527,C5 H10 O3,0,3.692691459899629,C5 H10 O3,0,2.461338610854549,C5 H10 O3,0,3.3762329938203037,C5 H10 O3,0,1.4960149140136991,C5 H10 O3,0,6.934053018015486,C H2 O3,2,2.211827265878544,C2 H2 O3,1,1.6794377428963287,C2 H2 O2,1,0.9658321597555504,H4 O2,1,0.439057905987215,C3 H2 O3,2,5.364530214740836,C H10 O,2,0.9519501492632352,C H6 O,2,0.8103167636280488,C2 H4 O2,1,1.0341006368676908,,,,,,,,,,,,,1.7895704451805505,0.04757176748209067
11,Fallopia_011,4-oxopyrrolidine-2-carboxylic acid,4-oxopyrrolidine-2-carboxylic acid,C5 H7 N O3,129.04268,0.718,0.8909999999999999,C1C(NCC1=O)C(=O)O,C1C(NCC1=O)C(=O)O,-3.3,Fallopia,0.1014108021250024,0.0027471738948747,0.0341565261470009,-0.0661210830832601,-0.0407569501117848,-0.0725155838545958,0.0330141919646393,-0.0837074849922316,-0.0837074849922316,-0.1554037107979979,-0.1314961212063963,-0.157620384978685,-0.1762269618310483,0.1585332429048946,0.1014108021250024,0.1406524632022296,0.0808994377441081,0.0231686697381121,0.2092679073875274,-0.059087863993426,-0.0102287546802131,0.0503967417307649,C2 H N O3,3,6.207035884547949,C2 H N,3,1.2999055315150232,C3 H3 N O2,1,1.931039923053477,C2 H7 N,3,1.6095012198587688,C5 H N O3,3,61.02033535683238,C2 H7 N,3,1.0242787937432984,C5 H N,3,4.164827719320333,C5 H7 N,3,5.06772628413187,C5 H7 N O,1,3.033863142065935,C5 H7 N O3,0,4.036103647613366,C5 H7 N O3,0,2.6902376906278764,C5 H7 N O3,0,3.690215239894728,C5 H7 N O3,0,1.6351410121599512,C5 H4 O3,1,6.578904704786105,C3 H3 N O3,1,3.6035179422739754,C5 H7 N O3,0,2.928619562477809,C5 H7 N O3,0,2.1486502289039606,H N O2,1,0.5728871276019694,C4 H3 N O3,1,7.0494153344407104,C H7 N O,2,1.2264750235423154,C H3 N O,2,1.07167004441158,C2 H N O2,1,1.2232675243052955,,,,,,,,,,,,,0.7519472609389491,0.1609731508142024
