,compound_id,compound_name,compound_name_iupac,compound_sf,compound_mw,compound_rt,compound_mq,compound_iso_smiles,compound_can_smiles,compound_xlogp,compound_folder,KMD-CH2,KMD-OCH2,KMD-C2H4O,KMD-CO,KMD-H2,KMD-COO,KMD-H2O,KMD-O,KMD-O2,KMD-S,KMD-OS,KMD-Cl,KMD-Br,KMD-NH3,KMD-C2H4,KMD-C3H8,KMD-C3H8O,KMD-C5H6O,KMD-CH4,KMD-C2O,KMD-C2H2O,KMD-C3H6O,KMDrem-CH2,KMDn-CH2,KMDrescaled-CH2,KMDrem-OCH2,KMDn-OCH2,KMDrescaled-OCH2,KMDrem-C2H4O,KMDn-C2H4O,KMDrescaled-C2H4O,KMDrem-CO,KMDn-CO,KMDrescaled-CO,KMDrem-H2,KMDn-H2,KMDrescaled-H2,KMDrem-COO,KMDn-COO,KMDrescaled-COO,KMDrem-H2O,KMDn-H2O,KMDrescaled-H2O,KMDrem-O,KMDn-O,KMDrescaled-O,KMDrem-O2,KMDn-O2,KMDrescaled-O2,KMDrem-S,KMDn-S,KMDrescaled-S,KMDrem-OS,KMDn-OS,KMDrescaled-OS,KMDrem-Cl,KMDn-Cl,KMDrescaled-Cl,KMDrem-Br,KMDn-Br,KMDrescaled-Br,KMDrem-NH3,KMDn-NH3,KMDrescaled-NH3,KMDrem-C2H4,KMDn-C2H4,KMDrescaled-C2H4,KMDrem-C3H8,KMDn-C3H8,KMDrescaled-C3H8,KMDrem-C3H8O,KMDn-C3H8O,KMDrescaled-C3H8O,KMDrem-C5H6O,KMDn-C5H6O,KMDrescaled-C5H6O,KMDrem-CH4,KMDn-CH4,KMDrescaled-CH4,KMDrem-C2O,KMDn-C2O,KMDrescaled-C2O,KMDrem-C2H2O,KMDn-C2H2O,KMDrescaled-C2H2O,KMDrem-C3H6O,KMDn-C3H6O,KMDrescaled-C3H6O
3,Ruthenium_03,"2,4-Bis-(octylmercapto)-6-(4-hydroxy-3,5-di-tert-butylanilino)-1,3,5-triazine",None,C33 H56 N4 O S2,588.38947,15.976,0.981,None,None,,Ruthenium,0.2675336416959908,-0.1823379815731414,-0.03912232513550862,-0.4963531370487999,0.17894854419421335,0.474490176808672,-0.0443309693152969,0.423459023560099,0.423459023560099,0.09654931970976577,0.20555956321049962,0.08644206103906527,0.0016025808555468757,-0.47200801494363986,0.2675336416959908,0.4464618859260554,0.17400899684935212,-0.08922310581419879,-0.24067569647695564,-0.4642841188552893,-0.2415036757222424,0.03492737563010451,C5 N4 O S2,28,13.98089650389967,C32 H54 N4 S2,1,18.606080758089803,C31 H52 N4 S2,1,12.364527433309501,C32 H56 N4 S2,1,20.01772992655077,C33 N4 O S2,28,263.9105677942176,C32 H56 N4 S2,1,12.739186531617365,C33 H54 N4 S2,1,31.669134206141578,C33 H56 N4 S2,1,35.78603911214801,C33 H56 N4 O S2,0,18.393019556074005,C33 H56 N4 O,2,16.403235485791512,C33 H56 N4 S,1,11.266552610127471,C33 H56 N4 O S2,0,16.82610408015588,C33 H56 N4 O S2,0,7.455676991112216,C33 H44 O S2,4,30.557181921982416,C5 N4 O S2,14,6.990448251949835,C12 N4 O S2,7,6.353491426922282,C30 H48 N4 S2,1,8.797101261881993,C28 H50 N4 S2,1,6.17182082748191,C19 N4 O S2,14,22.702547520118614,C31 H56 N4 S2,1,13.711609223015166,C31 H54 N4 S2,1,13.005752105842125,C30 H50 N4 S2,1,9.137330299210022
4,Ruthenium_04,"α,α-Trehalose",None,C12 H22 O11,342.1162,1.557,0.835,None,None,,Ruthenium,0.26581157692908164,0.004235906241660814,0.08750795419484803,-0.17834668099220607,-0.4599152225901548,-0.1952996945592531,0.084479413330655,-0.22497151079863897,-0.22497151079863897,-0.41505157056656117,-0.3516680938576542,-0.4209283870378613,-0.4702578907937891,0.41725381584063825,0.26581157692908164,0.36984853562705666,0.21143212635655573,0.05837709856814399,-0.44823913098076673,-0.15970030609679498,-0.030165699301392124,0.13056379310552302,C O11,11,13.409585709609479,C,11,0.39985918713438107,C2 H2 O6,5,2.770738717347119,C H22,11,1.2206556502648438,C12 O11,11,158.72996332872106,C H22,11,0.7768193534758095,C12,11,7.995307339124412,C12 H22,11,10.389061439924541,C12 H22 O,5,5.694530719962271,C12 H22 O11,0,10.700470722030108,C12 H22 O11,0,7.1323266588774885,C12 H22 O11,0,9.783455426332365,C12 H22 O11,0,4.335066701608233,C12 H22 O11,0,20.093103393559982,C2 H2 O11,5,7.20479285480474,C6 H6 O11,2,5.764321885734778,C6 H6 O9,2,3.696476323115618,C2 H10 O9,2,2.17001993194977,C7 H2 O11,5,16.34051566455064,H22 O5,6,2.5539927957973028,H10 O5,6,2.143575648112697,C3 H4 O8,3,2.8943008228088294
5,Ruthenium_05,None,None,C10 H8 O6,224.03154,1.16,0.0,None,None,,Ruthenium,0.218616648171718,0.047326307841046855,0.10185621651507404,-0.0722361630246553,-0.29209717513032274,-0.08333768273365649,0.09987300533200028,-0.10276798941512766,-0.10276798941512766,-0.22724010886781798,-0.18573404193017495,-0.2310884862448006,-0.2633914426492936,0.3177871580873841,0.218616648171718,0.2867442611699573,0.1830067821200032,0.08278015274620998,0.40586782268161414,-0.060025761753877305,0.024798743615008334,0.13005092315907518,C6 O6,4,11.98442362251512,C6 O2,4,3.465107382483801,C6 O4,2,3.0886066234650293,C4 H8,6,2.002599437065228,C10 O6,4,107.14632044787945,C4 H8,6,1.2744445983881711,C10 O2,4,8.438926369360848,C10 H8,6,8.006457258681058,C10 H8,3,4.003228629340529,C10 H8 O6,0,7.00711839258766,C10 H8 O6,0,4.670547549882182,C10 H8 O6,0,6.406618198559861,C10 H8 O6,0,2.838784050443188,C10 H8 O6,0,13.15780940957221,C6 O6,2,5.99221181125756,C7 O6,1,4.084404612172162,C7 O5,1,2.7302923444727365,C5 H2 O5,1,1.7307044822303623,C8 O6,2,11.974667442668148,H8 O,5,0.601514345167232,C2 O2,4,1.3327559308057602,C7 H2 O5,1,2.8598361492560995
7,Ruthenium_07,None,None,C10 H6 O5,206.02135,6.589,0.0,None,None,,Ruthenium,0.2086962263831822,0.051176141680429055,0.10132231931416413,-0.05877454498218526,-0.4217432703963766,-0.06898359892838357,0.09949854108512568,-0.08685187771371261,-0.08685187771371261,-0.20131751985945812,-0.1631481802045016,-0.20485652112023445,-0.2345626003957193,0.2998942886426619,0.2086962263831822,0.2713469710156744,0.17594908427412292,0.08377980538801921,0.3808940328242443,-0.04754575392070137,0.030459597955967865,0.12725041642787005,C7 O5,3,11.699391205096248,C7 O2,3,3.864966569618182,C8 H2 O4,1,3.6795193379257314,C5 H6,5,2.3592481381318273,C10 O5,3,99.21095760807268,C5 H6,5,1.5014141072094604,C10 O2,3,8.438926369360848,C10 H6,5,7.880439076502466,C10 H6 O,2,4.440219538251233,C10 H6 O5,0,6.443796592577061,C10 H6 O5,0,4.295069199806365,C10 H6 O5,0,5.891572284762957,C10 H6 O5,0,2.610566279379313,C10 H6 O5,0,12.100016396022255,C8 H2 O5,1,6.349695602548124,C10 H6 O5,0,4.675655138045849,C10 H6 O5,0,3.4304037340166866,C5 O4,1,1.5111755292367548,C9 H2 O5,1,11.851204932504078,H6,5,0.151192976679619,C4 O2,3,1.9040408011832206,C7 O4,1,2.549533150858784
8,Ruthenium_08,Trimellitic anhydride,"1,3-dioxo-2-benzofuran-5-carboxylic acid",C9 H4 O5,192.00577,6.317,0.679,C1=CC2=C(C=C1C(=O)O)C(=O)OC2=O,C1=CC2=C(C=C1C(=O)O)C(=O)OC2=O,0.8,Ruthenium,0.20862624015811093,0.061822206722666806,0.10855695265613008,-0.04064856271307349,0.48501589095121744,-0.050163097317891925,0.10685724559579057,-0.06681580164564593,-0.06681580164564593,-0.17349437529219358,-0.1379216860983945,-0.17679261919803935,-0.20447780146176342,0.2936201214555467,0.20862624015811093,0.2670148705803399,0.17810687779129353,0.0922078514871032,0.3691094736580567,-0.03018366344932133,0.042515004194598305,0.13272116792290944,C7 O5,2,11.699391205096248,C7 O3,2,4.39794269945694,C7 O4,1,3.361171504832932,C4 H4,5,1.8585982788655206,C9 O5,2,93.25754326716878,C4 H4,5,1.1828029576124177,C9 O3,2,8.660735884479067,C9 H4,5,7.004182441327204,C9 H4 O,2,4.002091220663602,C9 H4 O5,0,6.005424927882335,C9 H4 O5,0,4.002875520498254,C9 H4 O5,0,5.490768455368965,C9 H4 O5,0,2.432969381456477,C9 H4 O5,0,11.276851937903256,C7 O5,1,5.849695602548124,C9 H4 O5,0,4.357570186580322,C9 H4 O5,0,3.1970332708353704,C9 H4 O5,0,2.3403401868610696,C8 O5,1,10.976937096973,C H4 O,4,0.8007571725836162,C5 O3,2,2.570418766586101,C9 H4 O5,0,3.308058310075707
9,Ruthenium_09,None,None,C13 H10 O4,230.05753,1.567,0.0,None,None,,Ruthenium,0.19935535012285754,0.02345765014126755,0.07945430177645108,-0.0993208065352178,-0.2712997224875551,-0.11072093440785125,0.07741774627069731,-0.13067387657966378,-0.13067387657966378,-0.258494041343738,-0.2158715461375209,-0.26244593219740864,-0.29561777202906114,0.30119334382692386,0.19935535012285754,0.26931545650415956,0.1627876515412936,0.05986513092670975,0.39164319806312164,-0.08678197045585989,0.0003241405347012005,0.10840738833556429,C8 O4,5,11.414358787677376,C9 H2,4,3.6658973672362913,C9 H2 O2,2,3.2254755516648284,C9 H10,4,4.2178464169973475,C13 O4,5,109.13583779097755,C9 H10,4,2.684217064821878,C13 H2,4,8.773497824006194,C13 H10,4,10.383190799849656,C13 H10,2,5.191595399924828,C13 H10 O4,0,7.195589786650641,C13 H10 O4,0,4.796171887654882,C13 H10 O4,0,6.578937859148032,C13 H10 O4,0,2.9151392020839464,C13 H10 O4,0,13.511716756829301,C9 H2 O4,2,6.207179393838689,C10 H2 O4,1,4.221160518316123,C10 H2 O3,1,2.8306265131045882,C8 H4 O3,1,1.804152603370203,C11 H2 O4,2,12.35054592893325,C5 H10,4,1.7521790204800152,C5 H2,4,1.4761917753520408,C10 H4 O3,1,2.963654674810701
10,Ruthenium_10,NP-000615,None,C14 H12 O4,244.07326,6.28,0.703,None,None,,Ruthenium,0.19927550383999915,0.01266163790387509,0.07206975774974467,-0.1175968160523837,-0.1782077191936935,-0.129691470699413,0.06990912974740127,-0.15086000033832647,-0.15086000033832647,-0.28646731694172445,-0.2412481434840572,-0.290659967726981,-0.325852726198832,0.30731774490556063,0.19927550383999915,0.2734977700463048,0.1604800016736192,0.05128716137051015,0.40327805009511053,-0.10429407999987461,-0.011881227982371456,0.10278674503354068,C8 O4,6,11.414358787677376,C10 H4,4,4.132921237397533,C8 O,3,2.543823384757627,C10 H12,4,4.718496276263655,C14 O4,6,115.08925213188142,C10 H12,4,3.002828214418921,C14 H4,4,9.551688308887975,C14 H12,4,11.259447435024917,C14 H12,2,5.629723717512459,C14 H12 O4,0,7.6339614513453675,C14 H12 O4,0,5.0883655669629935,C14 H12 O4,0,6.979741688542026,C14 H12 O4,0,3.092736100006783,C14 H12 O4,0,14.334881214948304,C8 O4,3,5.707179393838688,C11 H4 O4,1,4.53924546978165,C11 H4 O3,1,3.0639969762859054,C4 O2,2,0.9749879457458883,C11 O4,3,12.224813764464328,C6 H12,4,2.102614824576018,C6 H4,4,1.8098138099491607,C8 O2,2,2.2051295155937782
11,Ruthenium_11,None,None,C15 H14 O4,258.08897,6.73,0.0,None,None,,Ruthenium,0.1992156352247889,0.0018856186258062735,0.06470520181426309,-0.13585282193650983,-0.0850958711853309,-0.14864200236684155,0.062420501492510994,-0.17102611773827903,-0.17102611773827903,-0.3144205750689366,-0.2666047270652143,-0.3188539854423311,-0.3560676596704866,0.3134621147986536,0.1992156352247889,0.27770005517413665,0.158192332652618,0.04272918160853578,0.4149328630782634,-0.12178618700085053,-0.02406660152900031,0.09718608730571532,C8 O4,7,11.414358787677376,C11 H6,4,4.599945107558777,C9 H2 O,3,2.8621712178504253,C11 H14,4,5.219146135529962,C15 O4,7,121.04266647278531,C11 H14,4,3.3214393640159634,C15 H6,4,10.329878793769756,C15 H14,4,12.135704070200179,C15 H14,2,6.067852035100089,C15 H14 O4,0,8.072333116040094,C15 H14 O4,0,5.380559246271105,C15 H14 O4,0,7.380545517936018,C15 H14 O4,0,3.2703329979296187,C15 H14 O4,0,15.158045673067303,C9 H2 O4,3,6.207179393838689,C12 H6 O4,1,4.857330421247179,C12 H6 O3,1,3.297367439467222,C5 H2 O2,2,1.1458232881215737,C12 H2 O4,3,13.099081599995408,C7 H14,4,2.4530506286720213,C7 H6,4,2.1434358445462807,C9 H2 O2,2,2.446604356376856
12,Ruthenium_12,None,None,C11 H10 O5,222.05229,1.565,0.0,None,None,,Ruthenium,0.19565659084724984,0.025879548180370193,0.07992770182227105,-0.09262662489589957,-0.32821461942464225,-0.10363006608045566,0.07796201170222616,-0.12288871195693218,-0.12288871195693218,-0.2462611583795251,-0.20512178482346144,-0.2500755365217344,-0.28209310620584915,0.2939509596992025,0.19565659084724984,0.26318231726276053,0.16036132704923034,0.061020169230857846,0.3812534586146512,-0.08052409877842592,0.00355100808050679,0.10787331687353685,C6 O5,5,10.843205445262758,C6,5,2.3991551228062864,C7 H2 O3,2,3.043650122743425,C6 H10,5,2.931898576497988,C11 O5,5,105.16437194897655,C6 H10,5,1.8658460771943797,C11,5,7.32903172753071,C11 H10,5,8.882713893856318,C11 H10 O,2,4.94135694692816,C11 H10 O5,0,6.945212345140387,C11 H10 O5,0,4.629284491085629,C11 H10 O5,0,6.350017412337074,C11 H10 O5,0,2.8137041402328506,C11 H10 O5,0,13.041563625217716,C7 H2 O5,2,5.921602722631379,C8 H2 O5,1,4.039485235114794,C8 H2 O4,1,2.6973361930377315,C6 H4 O4,1,1.7065794265697847,C9 H2 O5,2,11.851204932504078,C H10,5,0.5520264396688285,C,5,0.2856424351887303,C8 H4 O4,1,2.8257355123884085
13,Ruthenium_13,None,None,C19 H36 N4 S2,384.23774,14.506,0.0,None,None,,Ruthenium,0.1913050582962228,-0.1024759568791751,-0.008951407294262026,-0.3075382154979138,-0.2544119387495698,-0.32657849368183633,-0.01235282382214109,-0.3599035207150223,-0.3599035207150223,0.42661365507410665,0.4978009412768074,0.4200132816356472,0.36461030148296913,0.36139295129839866,0.1913050582962228,0.30815110617868413,0.13023037901928092,-0.04166887033824196,-0.4875394110761704,-0.2865960883814864,-0.1411131075496428,0.039405490849901526,C N4 S2,18,9.414935287313343,C19 H36 N4 S2,0,12.803429178101098,C19 H36 N4 S2,0,8.727485243095503,C19 H36 N4 S2,0,13.725283493388341,C19 N4 S2,18,172.62740418175656,C19 H36 N4 S2,0,8.73470404801944,C19 H36 N4 S2,0,21.33404178423704,C19 H36 N4 S2,0,24.022518948408724,C19 H36 N4 S2,0,12.011259474204362,C19 H36 N4,2,10.017930819397746,C19 H36 N4 S2,0,8.01047080959386,C19 H36 N4 S2,0,10.988011045743697,C19 H36 N4 S2,0,4.8688074637821455,C19 H24 S2,4,18.567000350148753,C N4 S2,9,4.707467643656671,C7 H4 N4 S2,4,4.720278360295657,C19 H36 N4 S2,0,6.397836146086144,C19 H36 N4 S2,0,4.683439856015432,C10 N4 S2,9,14.967996134864041,C19 H36 N4 S2,0,9.607174891649542,C19 H36 N4 S2,0,9.146226488901856,C19 H36 N4 S2,0,6.62001713358236
