,compound_id,compound_name,compound_name_iupac,compound_sf,compound_mw,compound_rt,compound_mq,compound_iso_smiles,compound_can_smiles,compound_xlogp,compound_folder,KMD-CH2,KMD-OCH2,KMD-C2H4O,KMD-CO,KMD-H2,KMD-COO,KMD-H2O,KMD-O,KMD-O2,KMD-S,KMD-OS,KMD-Cl,KMD-Br,KMD-NH3,KMD-C2H4,KMD-C3H8,KMD-C3H8O,KMD-C5H6O,KMD-CH4,KMD-C2O,KMD-C2H2O,KMD-C3H6O,KMDrem-CH2,KMDn-CH2,KMDrescaled-CH2,KMDrem-OCH2,KMDn-OCH2,KMDrescaled-OCH2,KMDrem-C2H4O,KMDn-C2H4O,KMDrescaled-C2H4O,KMDrem-CO,KMDn-CO,KMDrescaled-CO,KMDrem-H2,KMDn-H2,KMDrescaled-H2,KMDrem-COO,KMDn-COO,KMDrescaled-COO,KMDrem-H2O,KMDn-H2O,KMDrescaled-H2O,KMDrem-O,KMDn-O,KMDrescaled-O,KMDrem-O2,KMDn-O2,KMDrescaled-O2,KMDrem-S,KMDn-S,KMDrescaled-S,KMDrem-OS,KMDn-OS,KMDrescaled-OS,KMDrem-Cl,KMDn-Cl,KMDrescaled-Cl,KMDrem-Br,KMDn-Br,KMDrescaled-Br,KMDrem-NH3,KMDn-NH3,KMDrescaled-NH3,KMDrem-C2H4,KMDn-C2H4,KMDrescaled-C2H4,KMDrem-C3H8,KMDn-C3H8,KMDrescaled-C3H8,KMDrem-C3H8O,KMDn-C3H8O,KMDrescaled-C3H8O,KMDrem-C5H6O,KMDn-C5H6O,KMDrescaled-C5H6O,KMDrem-CH4,KMDn-CH4,KMDrescaled-CH4,KMDrem-C2O,KMDn-C2O,KMDrescaled-C2O,KMDrem-C2H2O,KMDn-C2H2O,KMDrescaled-C2H2O,KMDrem-C3H6O,KMDn-C3H6O,KMDrescaled-C3H6O,rt_predicted,rt_predicted_sd
2,Ruthenium_05,None,None,C10 H8 O6,224.03154,1.16,0.0,None,None,,Ruthenium,0.218616648171718,0.0473263078410468,0.101856216515074,-0.0722361630246553,-0.2920971751303227,-0.0833376827336564,0.0998730053320002,-0.1027679894151276,-0.1027679894151276,-0.2272401088678179,-0.1857340419301749,-0.2310884862448006,-0.2633914426492936,0.3177871580873841,0.218616648171718,0.2867442611699573,0.1830067821200032,0.0827801527462099,0.4058678226816141,-0.0600257617538773,0.0247987436150083,0.1300509231590751,C6 O6,4,11.98442362251512,C6 O2,4,3.465107382483801,C6 O4,2,3.0886066234650293,C4 H8,6,2.002599437065228,C10 O6,4,107.14632044787945,C4 H8,6,1.2744445983881711,C10 O2,4,8.438926369360848,C10 H8,6,8.006457258681058,C10 H8,3,4.003228629340529,C10 H8 O6,0,7.00711839258766,C10 H8 O6,0,4.670547549882182,C10 H8 O6,0,6.406618198559861,C10 H8 O6,0,2.838784050443188,C10 H8 O6,0,13.15780940957221,C6 O6,2,5.99221181125756,C7 O6,1,4.084404612172162,C7 O5,1,2.7302923444727365,C5 H2 O5,1,1.7307044822303623,C8 O6,2,11.974667442668148,H8 O,5,0.601514345167232,C2 O2,4,1.3327559308057602,C7 H2 O5,1,2.8598361492560995,,
3,Ruthenium_07,None,None,C10 H6 O5,206.02135,6.589,0.0,None,None,,Ruthenium,0.2086962263831822,0.051176141680429,0.1013223193141641,-0.0587745449821852,-0.4217432703963766,-0.0689835989283835,0.0994985410851256,-0.0868518777137126,-0.0868518777137126,-0.2013175198594581,-0.1631481802045016,-0.2048565211202344,-0.2345626003957193,0.2998942886426619,0.2086962263831822,0.2713469710156744,0.1759490842741229,0.0837798053880192,0.3808940328242443,-0.0475457539207013,0.0304595979559678,0.12725041642787,C7 O5,3,11.699391205096248,C7 O2,3,3.864966569618182,C8 H2 O4,1,3.6795193379257314,C5 H6,5,2.3592481381318278,C10 O5,3,99.21095760807268,C5 H6,5,1.5014141072094604,C10 O2,3,8.438926369360848,C10 H6,5,7.880439076502466,C10 H6 O,2,4.440219538251233,C10 H6 O5,0,6.443796592577061,C10 H6 O5,0,4.295069199806365,C10 H6 O5,0,5.891572284762957,C10 H6 O5,0,2.610566279379313,C10 H6 O5,0,12.100016396022257,C8 H2 O5,1,6.349695602548124,C10 H6 O5,0,4.675655138045849,C10 H6 O5,0,3.430403734016686,C5 O4,1,1.5111755292367548,C9 H2 O5,1,11.851204932504078,H6,5,0.151192976679619,C4 O2,3,1.9040408011832208,C7 O4,1,2.549533150858784,,
4,Ruthenium_08,Trimellitic anhydride,"1,3-dioxo-2-benzofuran-5-carboxylic acid",C9 H4 O5,192.00577,6.317,0.679,C1=CC2=C(C=C1C(=O)O)C(=O)OC2=O,C1=CC2=C(C=C1C(=O)O)C(=O)OC2=O,0.8,Ruthenium,0.2086262401581109,0.0618222067226668,0.10855695265613,-0.0406485627130734,0.4850158909512174,-0.0501630973178919,0.1068572455957905,-0.0668158016456459,-0.0668158016456459,-0.1734943752921935,-0.1379216860983945,-0.1767926191980393,-0.2044778014617634,0.2936201214555467,0.2086262401581109,0.2670148705803399,0.1781068777912935,0.0922078514871032,0.3691094736580567,-0.0301836634493213,0.0425150041945983,0.1327211679229094,C7 O5,2,11.699391205096248,C7 O3,2,4.39794269945694,C7 O4,1,3.361171504832932,C4 H4,5,1.8585982788655209,C9 O5,2,93.25754326716878,C4 H4,5,1.1828029576124175,C9 O3,2,8.660735884479067,C9 H4,5,7.004182441327204,C9 H4 O,2,4.002091220663602,C9 H4 O5,0,6.005424927882335,C9 H4 O5,0,4.002875520498254,C9 H4 O5,0,5.490768455368965,C9 H4 O5,0,2.432969381456477,C9 H4 O5,0,11.276851937903256,C7 O5,1,5.849695602548124,C9 H4 O5,0,4.357570186580322,C9 H4 O5,0,3.1970332708353704,C9 H4 O5,0,2.3403401868610696,C8 O5,1,10.976937096973,C H4 O,4,0.8007571725836162,C5 O3,2,2.570418766586101,C9 H4 O5,0,3.308058310075707,7.212187521430751,0.7329279832529875
5,Ruthenium_09,None,None,C13 H10 O4,230.05753,1.567,0.0,None,None,,Ruthenium,0.1993553501228575,0.0234576501412675,0.079454301776451,-0.0993208065352178,-0.2712997224875551,-0.1107209344078512,0.0774177462706973,-0.1306738765796637,-0.1306738765796637,-0.258494041343738,-0.2158715461375209,-0.2624459321974086,-0.2956177720290611,0.3011933438269238,0.1993553501228575,0.2693154565041595,0.1627876515412936,0.0598651309267097,0.3916431980631216,-0.0867819704558598,0.0003241405347012,0.1084073883355642,C8 O4,5,11.414358787677376,C9 H2,4,3.6658973672362913,C9 H2 O2,2,3.2254755516648284,C9 H10,4,4.217846416997348,C13 O4,5,109.13583779097756,C9 H10,4,2.684217064821878,C13 H2,4,8.773497824006194,C13 H10,4,10.383190799849656,C13 H10,2,5.191595399924828,C13 H10 O4,0,7.195589786650641,C13 H10 O4,0,4.796171887654882,C13 H10 O4,0,6.578937859148032,C13 H10 O4,0,2.9151392020839464,C13 H10 O4,0,13.5117167568293,C9 H2 O4,2,6.207179393838689,C10 H2 O4,1,4.221160518316123,C10 H2 O3,1,2.830626513104588,C8 H4 O3,1,1.804152603370203,C11 H2 O4,2,12.35054592893325,C5 H10,4,1.7521790204800152,C5 H2,4,1.4761917753520408,C10 H4 O3,1,2.963654674810701,,
7,Ruthenium_11,None,None,C15 H14 O4,258.08897,6.73,0.0,None,None,,Ruthenium,0.1992156352247889,0.0018856186258062,0.064705201814263,-0.1358528219365098,-0.0850958711853309,-0.1486420023668415,0.0624205014925109,-0.171026117738279,-0.171026117738279,-0.3144205750689366,-0.2666047270652143,-0.3188539854423311,-0.3560676596704866,0.3134621147986536,0.1992156352247889,0.2777000551741366,0.158192332652618,0.0427291816085357,0.4149328630782634,-0.1217861870008505,-0.0240666015290003,0.0971860873057153,C8 O4,7,11.414358787677376,C11 H6,4,4.599945107558777,C9 H2 O,3,2.8621712178504253,C11 H14,4,5.219146135529962,C15 O4,7,121.04266647278531,C11 H14,4,3.3214393640159634,C15 H6,4,10.329878793769756,C15 H14,4,12.13570407020018,C15 H14,2,6.067852035100089,C15 H14 O4,0,8.072333116040094,C15 H14 O4,0,5.380559246271105,C15 H14 O4,0,7.380545517936018,C15 H14 O4,0,3.2703329979296187,C15 H14 O4,0,15.158045673067305,C9 H2 O4,3,6.207179393838689,C12 H6 O4,1,4.857330421247179,C12 H6 O3,1,3.297367439467222,C5 H2 O2,2,1.1458232881215735,C12 H2 O4,3,13.099081599995408,C7 H14,4,2.4530506286720213,C7 H6,4,2.1434358445462807,C9 H2 O2,2,2.446604356376856,,
9,Ruthenium_13,None,None,C19 H36 N4 S2,384.23774,14.506,0.0,None,None,,Ruthenium,0.1913050582962228,-0.1024759568791751,-0.008951407294262,-0.3075382154979138,-0.2544119387495698,-0.3265784936818363,-0.012352823822141,-0.3599035207150223,-0.3599035207150223,0.4266136550741066,0.4978009412768074,0.4200132816356472,0.3646103014829691,0.3613929512983986,0.1913050582962228,0.3081511061786841,0.1302303790192809,-0.0416688703382419,-0.4875394110761704,-0.2865960883814864,-0.1411131075496428,0.0394054908499015,C N4 S2,18,9.414935287313345,C19 H36 N4 S2,0,12.803429178101098,C19 H36 N4 S2,0,8.727485243095503,C19 H36 N4 S2,0,13.72528349338834,C19 N4 S2,18,172.62740418175656,C19 H36 N4 S2,0,8.73470404801944,C19 H36 N4 S2,0,21.33404178423704,C19 H36 N4 S2,0,24.022518948408724,C19 H36 N4 S2,0,12.011259474204362,C19 H36 N4,2,10.017930819397746,C19 H36 N4 S2,0,8.01047080959386,C19 H36 N4 S2,0,10.988011045743695,C19 H36 N4 S2,0,4.8688074637821455,C19 H24 S2,4,18.567000350148756,C N4 S2,9,4.707467643656671,C7 H4 N4 S2,4,4.720278360295657,C19 H36 N4 S2,0,6.397836146086144,C19 H36 N4 S2,0,4.683439856015432,C10 N4 S2,9,14.96799613486404,C19 H36 N4 S2,0,9.607174891649542,C19 H36 N4 S2,0,9.146226488901856,C19 H36 N4 S2,0,6.62001713358236,,
10,Ruthenium_15,None,None,C20 H22 O3,310.15642,11.747,0.0,None,None,,Ruthenium,0.1899048542421724,-0.0472349642742528,0.0282579830904978,-0.2127610680096836,0.2517202080986749,-0.2281303665000678,0.0255123621807911,-0.2550303037135109,-0.2550303037135109,-0.4273534817769473,-0.3698911569201186,-0.4326812983426862,-0.4774025430113511,0.3271996758775231,0.1899048542421724,0.2842228978116736,0.1406054182284606,0.0018484710805068,0.4491413614177872,-0.1958565984653546,-0.0784228437651677,0.0672916355648567,C9 O3,11,11.129326370258504,C17 H16,3,7.334923645499371,C14 H10,3,4.04482309777512,C17 H22,3,8.079044132928097,C20 O3,11,142.87437533749795,C17 H22,3,5.141464620822466,C20 H16,3,14.220831218178663,C20 H22,3,16.390969063897895,C20 H22 O,1,8.695484531948948,C20 H22 O3,0,9.700869639503123,C20 H22 O3,0,6.466049292735844,C20 H22 O3,0,8.86951875110908,C20 H22 O3,0,3.930099716479925,C20 H22 O3,0,18.21607495011235,C10 H2 O3,5,6.064663185129253,C14 H6 O3,2,5.039005704448507,C14 H6 O,2,3.164331144917757,C5 H4,3,0.7804710470063925,C15 H2 O3,5,14.346958267486738,C14 H22,3,4.754908280664424,C14 H16,3,4.382830887909341,C11 H4,3,2.343675561894928,,
12,Ruthenium_18,None,None,C16 H12 O2,236.08332,7.158,0.0,None,None,,Ruthenium,0.1802938287513313,-0.0002110779649058,0.0572522679508438,-0.126205413715013,-0.2503038227000616,-0.1379041398406002,0.055162369892912,-0.1583797001567006,-0.1583797001567006,-0.2895477991120003,-0.2458089126909897,-0.2936032000067712,-0.3276438944276947,0.2847992177111962,0.1802938287513313,0.2520863676960516,0.1427683294299413,0.0371500070500303,0.3776181829569793,-0.1133381537277387,-0.023950512840912,0.0869637092548032,C10 O2,6,10.844293952839632,C14 H8,2,5.866687351988781,C12 H4,2,3.362344479864628,C14 H12,2,6.433093396929468,C16 O2,6,111.12535513407566,C14 H12,2,4.093989531255585,C16 H8,2,11.108069278651538,C16 H12,2,12.759924341018255,C16 H12,1,6.379962170509128,C16 H12 O2,0,7.384061180713621,C16 H12 O2,0,4.921796225427582,C16 H12 O2,0,6.751257519736203,C16 H12 O2,0,2.9914943537247054,C16 H12 O2,0,13.865624104086391,C10 O2,3,5.422146976419817,C13 H4 O2,1,4.3579164244600825,C13 H4 O,1,2.9309606817364404,C6,2,0.877600724510044,C13 O2,3,11.726424415198352,C12 H12,2,3.902843695792799,C12 H8,2,3.6196276198983215,C10,2,2.067473200365303,,
13,Ruthenium_19,None,None,C16 H12 O2,236.08332,7.448,0.0,None,None,,Ruthenium,0.1802938287513313,-0.0002110779649058,0.0572522679508438,-0.126205413715013,-0.2503038227000616,-0.1379041398406002,0.055162369892912,-0.1583797001567006,-0.1583797001567006,-0.2895477991120003,-0.2458089126909897,-0.2936032000067712,-0.3276438944276947,0.2847992177111962,0.1802938287513313,0.2520863676960516,0.1427683294299413,0.0371500070500303,0.3776181829569793,-0.1133381537277387,-0.023950512840912,0.0869637092548032,C10 O2,6,10.844293952839632,C14 H8,2,5.866687351988781,C12 H4,2,3.362344479864628,C14 H12,2,6.433093396929468,C16 O2,6,111.12535513407566,C14 H12,2,4.093989531255585,C16 H8,2,11.108069278651538,C16 H12,2,12.759924341018255,C16 H12,1,6.379962170509128,C16 H12 O2,0,7.384061180713621,C16 H12 O2,0,4.921796225427582,C16 H12 O2,0,6.751257519736203,C16 H12 O2,0,2.9914943537247054,C16 H12 O2,0,13.865624104086391,C10 O2,3,5.422146976419817,C13 H4 O2,1,4.3579164244600825,C13 H4 O,1,2.9309606817364404,C6,2,0.877600724510044,C13 O2,3,11.726424415198352,C12 H12,2,3.902843695792799,C12 H8,2,3.6196276198983215,C10,2,2.067473200365303,,
14,Ruthenium_20,None,None,C17 H14 O2,250.09907,7.508,0.0,None,None,,Ruthenium,0.1801940048006827,-0.0110270831616787,0.0498477358327988,-0.1445014268653039,-0.157231664120701,-0.1568946807563236,0.047633765101267,-0.1785858302741587,-0.1785858302741587,-0.3175410921807611,-0.2712055238029336,-0.3218372533507079,-0.3578988692956102,0.2909036499753483,0.1801940048006827,0.2562487096523966,0.1404406987155084,0.0285520476995202,0.3892330740376906,-0.1308702658147638,-0.0361758763284854,0.0813230803784392,C10 O2,7,10.844293952839632,C15 H10,2,6.333711222150024,C13 H6,2,3.680692312957426,C15 H14,2,6.933743256195776,C17 O2,7,117.07876947497954,C15 H14,2,4.412600680852628,C17 H10,2,11.88625976353332,C17 H14,2,13.636180976193517,C17 H14,1,6.818090488096758,C17 H14 O2,0,7.822432845408348,C17 H14 O2,0,5.213989904735694,C17 H14 O2,0,7.1520613491301965,C17 H14 O2,0,3.169091251647542,C17 H14 O2,0,14.688788562205394,C11 H2 O2,3,5.922146976419817,C14 H6 O2,1,4.67600137592561,C14 H6 O,1,3.164331144917757,C7 H2,2,1.048436066885729,C14 H2 O2,3,12.60069225072943,C13 H14,2,4.2532794998888015,C13 H10,2,3.9532496544954414,C11 H2,2,2.3089480411483807,,
