,spectrum_id,label,compound_id,parent_full_mw,ms1_rt,ms2_rt,ms2_max_intensity,parent_mz,parent_intensity,parent_fromms1_mz,parent_fromms1_intensity,scan_type,mzml_file,mzml_file_short,spectrum_folder,n_averaged,spectrum_ids_orig,flags,xlogp_predicted,xlogp_predicted_sd,isomer_flag
0,Ruthenium_AvSpec_0,1,Ruthenium_32,148.0161227724957,10.1543646,10.1681671,14521.490966796877,149.0233993724957,2898542.97509616,149.02346288811282,593328.65,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_01.mzML-BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML-BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_02.mzML,20161130_Kat-0_pos_01-20161130_Kat-3_pos_01-20161130_Kat-6_pos_01-20161201_Kat-0_pos_01-20161201_Kat-0_pos_02-20161201_Kat-3_pos_01-20161201_Kat-3_pos_02-20161201_Kat-6_pos_02,Ruthenium,10.0,20161130_Kat0_pos_01_1616-20161130_Kat3_pos_01_1617-20161130_Kat6_pos_01_1619-20161130_Kat6_pos_01_1629-20161201_Kat0_pos_01_1831-20161201_Kat0_pos_02_1649-20161201_Kat3_pos_01_1670-20161201_Kat3_pos_02_1654-20161201_Kat6_pos_02_1653-20161201_Kat6_pos_02_1691,1,2.306928581339876,0.9860550769736016,1
1,Ruthenium_AvSpec_1,1,Ruthenium_86,325.370699208451,11.059869333333332,11.070817,126387.0,326.377975808451,2715728.261462,326.3775826660218,506526.8125,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_01.mzML-BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML-BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_01.mzML,20161130_Kat-0_pos_01-20161130_Kat-3_pos_01-20161130_Kat-6_pos_01,Ruthenium,3.0,20161130_Kat0_pos_01_1764-20161130_Kat3_pos_01_1762-20161130_Kat6_pos_01_1769,1,2.8807511586114183,1.0992163715860315,2
2,Ruthenium_AvSpec_2,1,Ruthenium_07,206.021620993683,6.6346218,6.6492031,8583.609375,207.028897593683,426439.6631241,207.02890917376865,88798.7265625,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium,1.0,20161130_Kat3_pos_01_1052,1,0.06989183895972319,0.5570768369730348,1
3,Ruthenium_AvSpec_3,1,Ruthenium_52,178.07820868189197,9.8448618,9.8571064,32931.6611328125,179.08548528189198,1364385.8347820002,179.08560487527174,235928.359375,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_02.mzML,20161130_Kat-3_pos_01-20161201_Kat-3_pos_02,Ruthenium,2.0,20161130_Kat3_pos_01_1566-20161201_Kat3_pos_02_1608,1,2.109184525131716,0.9472306589437184,1
4,Ruthenium_AvSpec_4,1,Ruthenium_53,192.0939804092855,10.3913255,10.4085655,46196.7802734375,193.10125700928552,1304043.0346146,193.10133315621965,237811.7734375,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium,2.0,20161130_Kat3_pos_01_1646-20161130_Kat3_pos_01_1657,1,2.4597519843668474,1.0161252101330047,1
5,Ruthenium_AvSpec_5,1,Ruthenium_49,206.109559947852,10.937332,10.956117,19457.6171875,207.116836547852,1581860.146284,207.11713513158543,170852.15625,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium,1.0,20161130_Kat3_pos_01_1742,1,2.8078353474945645,1.0848010007556226,1
6,Ruthenium_AvSpec_6,1,Ruthenium_51,206.109595551693,11.096319333333334,11.11548,28638.430338541668,207.116872151693,2109507.140716667,207.11710670265848,261228.5208333333,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium,3.0,20161130_Kat3_pos_01_1754-20161130_Kat3_pos_01_1770-20161130_Kat3_pos_01_1782,1,2.9091438253238153,1.1048320937840095,1
7,Ruthenium_AvSpec_7,1,Ruthenium_48,220.1251695295485,11.6071315,11.6190815,35499.6259765625,221.1324461295485,1322924.9982625,221.1323998472461,258081.640625,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium,2.0,20161130_Kat3_pos_01_1850-20161130_Kat3_pos_01_1861,1,3.229287782186619,1.1682436130610079,1
8,Ruthenium_AvSpec_8,1,Ruthenium_46,234.140845741954,12.078645,12.08837,32188.21875,235.148122341954,1183229.994247,235.14822879031223,212322.15625,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium,1.0,20161130_Kat3_pos_01_1937,1,3.527618659477906,1.2274692762325294,1
9,Ruthenium_AvSpec_9,1,Ruthenium_36,208.088884212262,12.170656,12.184929,24134.490234375,209.096160812262,1381487.578873,209.09631806157228,202523.140625,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium,1.0,20161130_Kat3_pos_01_1954,1,3.5890020753944913,1.2396696869871495,2
10,Ruthenium_AvSpec_10,1,Ruthenium_26,390.2767081946439,15.021724,15.030142444444444,586745.171875,391.2839847946439,8683265.881969778,391.28364460394033,1723768.076388889,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_02.mzML,20161130_Kat-6_pos_01-20161201_Kat-0_pos_02-20161201_Kat-3_pos_01-20161201_Kat-3_pos_02,Ruthenium,9.0,20161130_Kat6_pos_01_2531-20161201_Kat0_pos_02_2565-20161201_Kat0_pos_02_2575-20161201_Kat0_pos_02_2587-20161201_Kat3_pos_01_2662-20161201_Kat3_pos_01_2672-20161201_Kat3_pos_01_2684-20161201_Kat3_pos_02_2578-20161201_Kat3_pos_02_2588,1,5.397729591543061,1.600774559388309,2
11,Ruthenium_AvSpec_11,1,Ruthenium_78,228.20856266809287,9.62600575,9.633306527272726,939904.4474431818,227.20128606809288,27770788.49851227,227.20116657493284,5666132.551136363,negative,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_02.mzML,20161201_Kat-0_neg_01-20161201_Kat-0_neg_02-20161201_Kat-0_neg_03-20161201_Kat-3_neg_01-20161201_Kat-3_neg_02-20161201_Kat-3_neg_03-20161201_Kat-6_neg_01-20161201_Kat-6_neg_02,Ruthenium,22.0,20161201_Kat0_neg_01_1971-20161201_Kat0_neg_01_1981-20161201_Kat0_neg_01_1993-20161201_Kat0_neg_01_2005-20161201_Kat0_neg_02_1977-20161201_Kat0_neg_02_1989-20161201_Kat0_neg_03_1975-20161201_Kat0_neg_03_1986-20161201_Kat3_neg_01_1975-20161201_Kat3_neg_01_1985-20161201_Kat3_neg_01_1997-20161201_Kat3_neg_02_1997-20161201_Kat3_neg_03_1959-20161201_Kat3_neg_03_1971-20161201_Kat3_neg_03_1994-20161201_Kat6_neg_01_1961-20161201_Kat6_neg_01_1973-20161201_Kat6_neg_01_1997-20161201_Kat6_neg_01_2009-20161201_Kat6_neg_02_1943-20161201_Kat6_neg_02_1965-20161201_Kat6_neg_02_1989,21,1.9669129536604235,0.9193626822005853,1
12,Ruthenium_AvSpec_12,1,Ruthenium_74,254.2245036130253,9.96366478125,9.97285744375,673700.955078125,253.2172270130253,18756985.653835878,253.2169905197213,3827041.77734375,negative,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_neg_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_neg_03.mzML,20161201_Kat-0_neg_01-20161201_Kat-3_neg_01-20161201_Kat-3_neg_02-20161201_Kat-3_neg_03-20161201_Kat-6_neg_01-20161201_Kat-6_neg_02-20161201_Kat-6_neg_03,Ruthenium,16.0,20161201_Kat0_neg_01_2055-20161201_Kat0_neg_01_2071-20161201_Kat3_neg_01_2066-20161201_Kat3_neg_01_2078-20161201_Kat3_neg_01_2091-20161201_Kat3_neg_02_2022-20161201_Kat3_neg_03_2059-20161201_Kat6_neg_01_2034-20161201_Kat6_neg_01_2045-20161201_Kat6_neg_01_2057-20161201_Kat6_neg_01_2069-20161201_Kat6_neg_02_2034-20161201_Kat6_neg_02_2046-20161201_Kat6_neg_02_2058-20161201_Kat6_neg_02_2070-20161201_Kat6_neg_03_2042,21,2.1827684941173624,0.9616661297704673,2
