,Unnamed: 0,Tags,Name,compound_sf,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],compound_mw,compound_rt,Area_Max,# ChemSpider Results,# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,Mass Defect: Standard MD,Mass Defect: Relative MD,Mass Defect: Kendrick MD [H2],Mass Defect: Kendrick MD [C H2],Mass Defect: Kendrick MD [C2 H4],Mass Defect: Kendrick MD [C H3 O],Mass Defect: Kendrick MD [O],MS2,Neutral Losses,Kat-3_neg,Kat-3_pos,Kat-6_neg,Kat-6_pos,CV_Kat-3_neg,CV_Kat-3_pos,CV_Kat-6_neg,CV_Kat-6_pos,NrC,NrH,NrN,NrO,NrP,NrS,NrBr,NrCl,H/C,O/C,N/C,P/C,S/C,Br/C,Cl/C,DBE,Ox#C,DU,DBEAI,CAI,AI,AIcolor,NKM,KMD-CH2,KMD-OCH2,KMD-C2H4O,KMD-CO,KMD-H2,KMD-COO,KMD-H2O,KMD-O,KMD-O2,KMD-S,KMD-OS,KMD-Cl,KMD-Br,KMD-NH3,MolClass,good_pos_CV,good_neg_CV,sum_pos,sum_neg,Kat-3,CV_Kat-3,Kat-6,CV_Kat-6,P_value_Kat-6/Kat-3,Log2_Kat-6/Kat-3,Reg_Kat-6/Kat-3,compound_mq,compound_name,compound_folder,id_as_str,compound_id,compound_iso_smiles,compound_can_smiles,compound_name_iupac,compound_xlogp,KMD-C2H4,KMD-C3H8,KMD-C3H8O,KMD-C5H6O,KMD-CH4,KMD-C2O,KMD-C2H2O,KMD-C3H6O,KMDrem-CH2,KMDn-CH2,KMDrescaled-CH2,KMDrem-OCH2,KMDn-OCH2,KMDrescaled-OCH2,KMDrem-C2H4O,KMDn-C2H4O,KMDrescaled-C2H4O,KMDrem-CO,KMDn-CO,KMDrescaled-CO,KMDrem-H2,KMDn-H2,KMDrescaled-H2,KMDrem-COO,KMDn-COO,KMDrescaled-COO,KMDrem-H2O,KMDn-H2O,KMDrescaled-H2O,KMDrem-O,KMDn-O,KMDrescaled-O,KMDrem-O2,KMDn-O2,KMDrescaled-O2,KMDrem-S,KMDn-S,KMDrescaled-S,KMDrem-OS,KMDn-OS,KMDrescaled-OS,KMDrem-Cl,KMDn-Cl,KMDrescaled-Cl,KMDrem-Br,KMDn-Br,KMDrescaled-Br,KMDrem-NH3,KMDn-NH3,KMDrescaled-NH3,KMDrem-C2H4,KMDn-C2H4,KMDrescaled-C2H4,KMDrem-C3H8,KMDn-C3H8,KMDrescaled-C3H8,KMDrem-C3H8O,KMDn-C3H8O,KMDrescaled-C3H8O,KMDrem-C5H6O,KMDn-C5H6O,KMDrescaled-C5H6O,KMDrem-CH4,KMDn-CH4,KMDrescaled-CH4,KMDrem-C2O,KMDn-C2O,KMDrescaled-C2O,KMDrem-C2H2O,KMDn-C2H2O,KMDrescaled-C2H2O,KMDrem-C3H6O,KMDn-C3H6O,KMDrescaled-C3H6O
2,2,,Myristic acid,C14 H28 O2,Full match,Full match,Not the top hit,-2.03,228.20847,9.612,277945157.930977,871,10,87.1,9.4,0.208465809154205,913,0.436592678348347,-0.0463547783413389,-0.0463547783413389,0.0731692001571673,0.281022078509068,DDA for preferred ion,,115614998.091149,0.0,246296999.296886,0.0,19.5205946409396,1000.0,18.172066769891,1000.0,14,28,0,2,0,0,0,0,2.0,0.142857142857142,0.0,0.0,0.0,0,0.0,1.0,-1.71428571428571,1.0,-1.0,12,0.0,royalblue,228,0.04635066471354321,-0.1281332784519691,-0.07258669323570643,-0.249924917904508,-0.4365963356222551,-0.26123341860702,-0.07460688016911377,-0.28102599138230744,-0.28102599138230744,-0.4078188167940766,-0.36553889481720603,-0.4117389447956157,-0.4446441699150512,0.14737014767101186,CHO,0,2,0.0,361911997.388035,115614998.091149,19.5205946409396,246296999.296886,18.172066769891,0.0106939602854517,1.09107048841076,#d9d9d9,0.871,Myristic acid,Ruthenium2,0002,Ruthenium2_0002,CCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCC(=O)O,Tetradecanoic acid,5.3,0.04635066471354321,0.11574847507128538,0.010076874654487256,-0.09201841845762715,0.23709302197539728,-0.23748686122692675,-0.15108085523004888,-0.04386631366182314,O2,14,2.2824363545047253,C12 H24,2,5.604286441934911,C10 H20,2,3.1834783309279846,C12 H28,2,6.1517994693953915,C14 O2,14,99.2185264522679,C12 H28,2,3.9149754359402666,C14 H24,2,10.670837041768783,C14 H28,2,12.267592892453656,C14 H28,1,6.133796446226828,C14 H28 O2,0,7.137758730010167,C14 H28 O2,0,4.757624986522886,C14 H28 O2,0,6.52606284274946,C14 H28 O2,0,2.891710187186051,C14 H28 O2,0,13.403122898612995,O2,7,1.1412181772523626,C5 H4 O2,3,2.179197977563185,C8 H12,2,1.79983971377108,C4 H16,2,0.7816155893321197,C7 O2,7,7.235210388825402,C10 H28,2,3.705948676532856,C10 H24,2,3.432179544787978,C8 H16,2,1.931798726264619
3,3,,Pentadecanoic acid,C15 H30 O2,Full match,Full match,Full match,-1.25,242.22428,10.05,233776658.621737,407,10,89.4,9.5,0.224277855569653,926,0.343582115210666,-0.0461929728020607,-0.0461929728020607,0.080671774636528,0.301290291922811,DDA for preferred ion,,107635728.021069,0.0,227452351.792881,0.0,13.7175795266305,1000.0,3.93221719603103,1000.0,15,30,0,2,0,0,0,0,2.0,0.133333333333333,0.0,0.0,0.0,0,0.0,1.0,-1.73333333333333,1.0,-1.0,13,0.0,royalblue,242,0.04619090775972268,-0.13900926252679824,-0.08005118962762481,-0.26828094195400354,-0.3435837111862554,-0.280283973395143,-0.0821954497658055,-0.30129214057595277,-0.30129214057595277,-0.4358721622751318,-0.3909955472252591,-0.4400330515825317,-0.4749592068772017,0.15341467349179538,CHO,0,2,0.0,335088079.81395,107635728.021069,13.7175795266305,227452351.792881,3.93221719603103,0.000274472560261846,1.07940731398962,#d9d9d9,0.894,Pentadecanoic acid,Ruthenium2,0003,Ruthenium2_0003,CCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCC(=O)O,Pentadecanoic acid,5.8,0.04619090775972268,0.11985090227037176,0.0076893013998642346,-0.10067634719095508,0.2486480302024745,-0.25507898094295456,-0.1633662036289536,-0.04956689926092395,O2,15,2.2824363545047253,C13 H26,2,6.071310312096154,C11 H22,2,3.5018261640207835,C13 H30,2,6.652449328661699,C15 O2,15,105.17194079317179,C13 H30,2,4.233586585537309,C15 H26,2,11.449027526650564,C15 H30,2,13.143849527628918,C15 H30,1,6.571924763814459,C15 H30 O2,0,7.576130394704893,C15 H30 O2,0,5.049818665830998,C15 H30 O2,0,6.926866672143453,C15 H30 O2,0,3.0693070851088873,C15 H30 O2,0,14.226287356731996,C H2 O2,7,1.6412181772523624,C6 H6 O2,3,2.497282929028713,C9 H14,2,2.033210176952397,C5 H18,2,0.9524509317078049,C8 H2 O2,7,8.109478224356481,C11 H30,2,4.056384480628859,C11 H26,2,3.765801579385098,C9 H18,2,2.173273567047696
4,4,,Pentadecanoic acid,C15 H30 O2,Full match,Full match,Full match,-1.34,242.22426,10.147,221128044.964025,407,10,86.4,9.3,0.224256610468728,926,0.343561035062521,-0.0462141941804362,-0.0462141941804362,0.0806505421310533,0.30126904006724,DDA for preferred ion,,120915037.325334,0.0,144890828.876447,0.0,3.3203171544975,1000.0,74.4116834617319,1000.0,15,30,0,2,0,0,0,0,2.0,0.133333333333333,0.0,0.0,0.0,0,0.0,1.0,-1.73333333333333,1.0,-1.0,13,0.0,royalblue,242,0.04621088542748453,-0.13898926956741775,-0.08003120153634313,-0.2682609383209069,-0.34356386647178283,-0.2802639687710098,-0.08217546149745658,-0.3012721342171858,-0.3012721342171858,-0.4358521448043575,-0.3909755334599083,-0.4400130337681958,-0.4749391861791139,0.15343464230622317,CHO,0,1,0.0,265805866.20178,120915037.325334,3.3203171544975,144890828.876447,74.4116834617319,0.719899780287918,0.260972606575389,#d9d9d9,0.8640000000000001,Pentadecanoic acid,Ruthenium2,0004,Ruthenium2_0004,CCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCC(=O)O,Pentadecanoic acid,5.8,0.04621088542748453,0.11987087385614359,0.007709282246622706,-0.10065635739664458,0.2486679911536953,-0.2550589783999442,-0.1633462086585098,-0.04954691368666886,O2,15,2.2824363545047253,C13 H26,2,6.071310312096154,C11 H22,2,3.5018261640207835,C13 H30,2,6.652449328661699,C15 O2,15,105.17194079317179,C13 H30,2,4.233586585537309,C15 H26,2,11.449027526650564,C15 H30,2,13.143849527628918,C15 H30,1,6.571924763814459,C15 H30 O2,0,7.576130394704893,C15 H30 O2,0,5.049818665830998,C15 H30 O2,0,6.926866672143453,C15 H30 O2,0,3.0693070851088873,C15 H30 O2,0,14.226287356731996,C H2 O2,7,1.6412181772523624,C6 H6 O2,3,2.497282929028713,C9 H14,2,2.033210176952397,C5 H18,2,0.9524509317078049,C8 H2 O2,7,8.109478224356481,C11 H30,2,4.056384480628859,C11 H26,2,3.765801579385098,C9 H18,2,2.173273567047696
8,8,,Bis(2-ethylhexyl) phthalate,C24 H38 O4,Full match,Full match,Not the top hit,-1.08,390.27659,15.026,111545572.677445,73,36,89.6,55.7,0.276586719893373,709,0.246372239726327,-0.159201272287817,-0.159201272287817,0.0452057386185629,0.40067069306474,DDA for preferred ion,,0.0,19322456.9513284,0.0,103258738.076483,1000.0,4.41618584684684,1000.0,11.3495032964105,24,38,0,4,0,0,0,0,1.58333333333333,0.166666666666666,0.0,0.0,0.0,0,0.0,6.0,-1.25,6.0,2.0,20,0.1,royalblue,390,0.15919811989726895,-0.13920008744526058,-0.0442056647389677,-0.3474851950753646,-0.24637463751082578,-0.366824718679311,-0.047660539431092275,-0.4006734965536225,-0.4006734965536225,0.3824884888969109,0.4547945859255833,0.375784381074709,0.31951066322022825,0.3319591893361462,CHO,2,0,122581195.027811,0.0,19322456.9513284,4.41618584684684,103258738.076483,11.3495032964105,0.000245265511096844,2.41791341500433,#d9d9d9,0.8959999999999999,Bis(2-ethylhexyl) phthalate,Ruthenium2,0008,Ruthenium2_0008,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,"Bis(2-ethylhexyl) benzene-1,2-dicarboxylate",7.4,0.15919811989726895,0.27788057186717197,0.09716356399047754,-0.07743732988012653,0.4854010726655247,-0.32621393224121675,-0.17844447663776464,0.004911231770677205,C5 O4,19,8.845801508176905,C20 H30,4,9.004653988090544,C16 H22,4,4.864650570860299,C20 H38,4,9.940996606226285,C24 O4,19,174.62339554092026,C20 H38,4,6.326402171552978,C24 H30,4,17.669337777570032,C24 H38,4,20.400068333313307,C24 H38,2,10.200034166656653,C24 H38 O4,0,12.206810361898428,C24 H38 O4,0,8.136367195957565,C24 H38 O4,0,11.160703877022327,C24 H38 O4,0,4.945327968027248,C24 H38 O4,0,22.921674109367686,C6 H2 O4,9,4.922900754088452,C12 H6 O4,4,4.857330421247179,C12 H6,4,2.498387595618256,C4 H14,4,0.757047034374775,C15 H2 O4,9,15.344688613181884,C16 H38,4,5.758165842215668,C16 H30,4,5.2899729541455285,C12 H14,4,2.724060485664193
9,9,,Palmitoleic acid,C16 H30 O2,Full match,Full match,Not the top hit,-0.57,254.22444,9.943,106347567.455565,585,30,97.6,9.9,0.224435287924337,883,0.250567033371198,-0.0594350747552426,-0.0594350747552426,0.0737147443341257,0.305263036964845,DDA for preferred ion,H2O,32453118.3778656,827111.803741615,100294355.311887,1045917.19296506,18.036019457957,39.2929655706718,8.53541027597242,20.934085198763,16,30,0,2,0,0,0,0,1.875,0.125,0.0,0.0,0.0,0,0.0,2.0,-1.625,2.0,0.0,14,0.0,royalblue,254,0.059430448749026255,-0.13494482023307341,-0.07306587454579017,-0.27062081567927976,-0.2505711507097885,-0.2832184955915693,-0.075316364599189,-0.30526743939262246,-0.30526743939262246,-0.446514760477271,-0.39941488952240434,-0.45088178658252787,-0.48753823684069175,0.1719662432528537,CHO,1,2,1873028.99670667,132747473.689752,32453118.3778656,18.036019457957,100294355.311887,8.53541027597242,0.000345843226995705,1.62781139492137,#d9d9d9,0.976,Palmitoleic acid,Ruthenium2,0009,Ruthenium2_0009,CCCCCC/C=C\CCCCCCCC(=O)O,CCCCCCC=CCCCCCCCC(=O)O,Hexadec-9-enoic acid,6.4,0.059430448749026255,0.13673967165132694,0.019021414130634184,-0.09471283384911544,0.2719176055981052,-0.25676480939895896,-0.16050844131936515,-0.04107134597384743,C O2,15,3.138622114338216,C14 H26,2,6.471169499230535,C12 H22,2,3.774391045388686,C14 H30,2,7.081098608828151,C16 O2,15,111.12535513407566,C14 H30,2,4.506376914746475,C16 H26,2,12.115303138244265,C16 H30,2,13.894087980625587,C16 H30,1,6.947043990312793,C16 H30 O2,0,7.95145797153102,C16 H30 O2,0,5.299990733167957,C16 H30 O2,0,7.270029203357322,C16 H30 O2,0,3.2213630201010215,C16 H30 O2,0,14.931069043774537,C2 H2 O2,7,2.069311057169108,C7 H6 O2,3,2.769622734890825,C10 H14,2,2.2330186442939866,C6 H18,2,1.0987177191261455,C9 H2 O2,7,8.858013895418638,C12 H30,2,4.356422625831656,C12 H26,2,4.051444014573828,C10 H18,2,2.3800208870842265
10,10,,,C17 H34 O2,Full match,No results,Partial match,0.27,270.25595,10.508,83746758.8585074,135,0,,,0.255954288821044,947,0.157612922970429,-0.045817079747053,-0.045817079747053,0.0957292329849793,0.341879075811789,DDA for preferred ion,,46376737.7029886,0.0,75465868.2990595,0.0,3.37100091991694,1000.0,15.5182044567354,1000.0,17,34,0,2,0,0,0,0,2.0,0.117647058823529,0.0,0.0,0.0,0,0.0,1.0,-1.76470588235294,1.0,-1.0,15,0.0,royalblue,270,0.04582144968281909,-0.1608112130748509,-0.09503015263970838,-0.3050429991356509,-0.15760807410043753,-0.3184350945317078,-0.0974225596299334,-0.34187445486014667,-0.34187445486014667,-0.4920288969141211,-0.44195888645487,-0.4966713096921467,0.4643606674530929,0.16545380309713664,CHO,0,2,0.0,121842606.002048,46376737.7029886,3.37100091991694,75465868.2990595,15.5182044567354,0.0130073789371444,0.702422950383485,#d9d9d9,0.0,None,Ruthenium2,0010,Ruthenium2_0010,None,None,None,,0.04582144968281909,0.12800582770410074,0.0028642027738214892,-0.11804217914328774,0.2717081442785343,-0.29031322673256454,-0.18798688785301465,-0.06101803439486275,O2,17,2.2824363545047253,C15 H30,2,7.005358052418639,C13 H26,2,4.138521830206381,C15 H34,2,7.653749047194311,C17 O2,17,117.07876947497954,C15 H34,2,4.870808884731394,C17 H30,2,13.005408496414129,C17 H34,2,14.896362797979439,C17 H34,1,7.448181398989719,C17 H34 O2,0,8.452873724094346,C17 H34 O2,0,5.634206024447221,C17 H34 O2,0,7.72847433093144,C17 H34 O2,0,3.4245008809545596,C17 H34 O2,0,15.872616272969998,C H2 O2,8,1.6412181772523624,C5 H2 O2,4,2.1334528319597688,C11 H18,2,2.499951103315031,C7 H22,2,1.2941216164591753,C9 H2 O2,8,8.858013895418638,C13 H34,2,4.757256088820865,C13 H30,2,4.433045648579338,C11 H22,2,2.6562232486138506
11,11,,,C24 H50 O5,Full match,No results,Partial match,-0.8,418.36549,15.086,81409594.3792403,2,0,,,0.365490552676988,874,0.117186117789686,-0.101661880570816,-0.101661880570816,0.117456668427963,0.49850507128258,DDA for other ion,NH3,0.0,458040.020425607,0.0,74086939.0199704,1000.0,5.20466517347016,1000.0,13.9779003676642,24,50,0,5,0,0,0,0,2.08333333333333,0.208333333333333,0.0,0.0,0.0,0,0.0,0.0,-1.66666666666666,0.0,-5.0,19,0.0,royalblue,418,0.1016625656125143,-0.21821189119259543,-0.1163805510069551,-0.44148764829952825,-0.11718465088006269,-0.4622190717983017,-0.12008407917261366,-0.4985040063911583,-0.4985040063911583,0.26905176166650335,0.34656185704125164,0.2618651472861302,0.20154130991653574,0.2868575563464333,CHO,2,0,74544979.040396,0.0,458040.020425607,5.20466517347016,74086939.0199704,13.9779003676642,0.000249804348288278,7.33760176152218,#018571,0.0,None,Ruthenium2,0011,Ruthenium2_0011,None,None,None,,0.1016625656125143,0.22888680463938726,0.03516327243460182,-0.15200395816623313,0.45134292480167915,-0.41868545486403264,-0.26028076884239226,-0.06372862413746816,H2 O5,24,5.849905126428322,C19 H40,5,8.94061821609047,C14 H30,5,4.502652615024075,C19 H50,5,9.944350800658956,C24 O5,25,182.55875838072703,C19 H50,5,6.328536764671073,C24 H40,5,18.228912144010437,C24 H50,5,21.15617742638486,C24 H50 O,2,11.07808871319243,C24 H50 O5,0,13.085352601252028,C24 H50 O5,0,8.721953605889146,C24 H50 O5,0,11.963956281719854,C24 H50 O5,0,5.301250553744633,C24 H50 O5,0,24.571380978299945,H2 O5,12,2.924952563214161,C6 H2 O5,6,3.4948056233905693,C9 H10,5,1.966086185272942,C4 H26 O,4,1.0994187621551055,C12 H2 O5,12,14.096811945690554,C14 H50,5,5.460475505169312,C14 H40,5,4.958586080810016,C9 H20,5,2.208001087794243
14,14,,,C26 H54 O6,Full match,No results,Partial match,-0.55,462.39178,14.98,66614155.4180439,5,0,,,0.391783100668818,847,-0.198353546876263,-0.124529672413701,-0.124529672413701,0.11764760766772,-0.461204724987965,DDA for other ion,NH3,0.0,124894.290484283,0.0,59889374.2352086,1000.0,6.51672896101863,1000.0,15.8797397271287,26,54,0,6,0,0,0,0,2.07692307692307,0.23076923076923,0.0,0.0,0.0,0,0.0,0.0,-1.61538461538461,0.0,-6.0,20,0.0,royalblue,462,0.1245329165963085,-0.22900322104891302,-0.11645575770950245,-0.475775187731756,0.19835763865444278,-0.49868826264508925,-0.1205490231000681,0.46120839256525414,0.46120839256525414,0.20430311541502988,0.2899699111353584,0.19636022458166735,0.12968826619965057,0.3292167240790036,CHO,2,0,60014268.5256928,0.0,124894.290484283,6.51672896101863,59889374.2352086,15.8797397271287,0.000404443538145286,8.90544872195494,#018571,0.0,None,Ruthenium2,0014,Ruthenium2_0014,None,None,None,,0.1245329165963085,0.2651454760662091,0.05103563425291213,-0.15582795986227893,-0.48898844790119256,-0.45057342739880824,-0.2754991765806949,-0.05826305595104486,H2 O6,26,6.991123303680685,C20 H42,6,9.407642086251714,C14 H30,6,4.502652615024075,C20 H54,6,10.517001239025115,C26 O6,27,202.40094990234158,C20 H54,6,6.692968734655992,C26 H42,6,19.67337824048592,C26 H54,6,22.90869069673538,C26 H54,3,11.45434534836769,C26 H54 O6,0,14.46237364278348,C26 H54 O6,0,9.639797702610032,C26 H54 O6,0,13.222968556124618,C26 H54 O6,0,5.859121157723477,C26 H54 O6,0,27.15712013701144,H2 O6,13,3.4955616518403425,C8 H6 O6,6,4.493979854844522,C8 H6,6,1.6991537262518979,C H24 O,5,0.6360498449427389,C13 H2 O6,13,15.84307796244786,C14 H54,6,5.561270822955725,C14 H42,6,5.006565680218406,C8 H18,6,1.9665262470111657
15,15,,,C22 H46 O4,Full match,No results,Partial match,-1.35,374.3391,15.232,55261458.0956036,4,0,,,0.339103035168705,906,0.432631550308599,-0.0788889522002023,-0.0788889522002023,0.117170815975726,0.458119867842186,DDA for other ion,NH3,0.0,514644.909020372,0.0,50234796.4541959,1000.0,8.27811456356091,1000.0,14.1510936014662,22,46,0,4,0,0,0,0,2.09090909090909,0.181818181818181,0.0,0.0,0.0,0,0.0,0.0,-1.72727272727272,0.0,-4.0,18,0.0,royalblue,374,0.07889210296741567,-0.20732059653943224,-0.11620540384774358,-0.40710009070187425,-0.43262771684209156,-0.4256498578307628,-0.11951919390332932,-0.45811637355376433,-0.45811637355376433,0.33390049527190513,0.4032538717740408,0.3274701590622726,0.27349445712405895,0.24459823268631453,CHO,2,0,50749441.3632162,0.0,514644.909020372,8.27811456356091,50234796.4541959,14.1510936014662,0.000266386758084999,6.60896586567914,#018571,0.0,None,Ruthenium2,0015,Ruthenium2_0015,None,None,None,,0.07889210296741567,0.192727991141453,0.01939081485005545,-0.1480800074986064,0.391774102260797,-0.38669746961409146,-0.24496238625164324,-0.06909426445247391,H2 O4,22,4.70868694917596,C18 H38,4,8.473594345929229,C14 H30,4,4.502652615024075,C18 H46,4,9.371700362292794,C22 O4,23,162.7165668591125,C18 H46,4,5.964104794686153,C22 H38,4,16.784446047534956,C22 H46,4,19.40366415603434,C22 H46,2,9.70183207801717,C22 H46 O4,0,11.708331559720575,C22 H46 O4,0,7.804109509168258,C22 H46 O4,0,10.704944007315088,C22 H46 O4,0,4.743379949765787,C22 H46 O4,0,21.985641819588448,H2 O4,11,2.35434347458798,C7 H6 O4,5,3.4956313919366173,C10 H14,4,2.2330186442939866,C2 H22,4,0.5627876793674722,C11 H2 O4,11,12.35054592893325,C14 H46,4,5.3596801873829,C14 H38,4,4.910606481401627,C10 H22,4,2.4494759285773204
17,17,,,C8 H4 O3,Full match,No results,Partial match,-0.31,148.016,10.165,48631491.6155068,6,0,,,0.0159981384625212,108,-0.133238674909165,-0.149278480310812,-0.149278480310812,-0.0717552345529953,0.0630581307011369,DDA for preferred ion,CO,0.0,14953862.792942,0.0,45597325.86375,1000.0,9.62339940387919,1000.0,9.41054826207177,8,4,0,3,0,0,0,0,0.5,0.375,0.0,0.0,0.0,0,0.0,7.0,0.25,7.0,4.0,5,0.8,orangered,148,0.14927666790038074,0.03610639279364136,0.07213390464440295,-0.04288765727471855,0.13323715279514659,-0.05022235015437104,0.07082361152015437,-0.06305981167324148,-0.06305981167324148,-0.14529763065581847,-0.1178748757890844,-0.14784022544327513,-0.1691825524887065,0.21479789850778275,CHO,2,0,60551188.656692,0.0,14953862.792942,9.62339940387919,45597325.86375,9.41054826207177,0.000302406257547706,1.60843101648394,#d9d9d9,0.0,None,Ruthenium2,0017,Ruthenium2_0017,None,None,None,,0.14927666790038074,0.1942880835499068,0.1257494898364655,0.0595304888270789,0.27299214941808714,-0.034820334457180024,0.021222595867158134,0.0907619411191547,C6 O3,2,8.560769090758033,C6 O,2,2.9321312526450436,C6 O2,1,2.3619979558362236,C5 H4,3,2.2872475590319734,C8 O3,2,71.43340324665137,C5 H4,3,1.4555932868215835,C8 O,2,6.218290019461526,C8 H4,3,6.253943988330535,C8 H4 O,1,3.6269719941652676,C8 H4 O3,0,4.629541926772209,C8 H4 O3,0,3.0857899769519666,C8 H4 O3,0,4.232796692921537,C8 H4 O3,0,1.8755598301979968,C8 H4 O3,0,8.693249765913725,C6 O3,1,4.280384545379016,C8 H4 O3,0,3.359221723672417,C8 H4 O3,0,2.4645715742611363,C8 H4 O3,0,1.804152603370203,C7 O3,1,8.232940734520549,C2 H4,3,0.7008716081920061,C4 O,2,1.5233052709690709,C8 H4 O3,0,2.5501600347376403
