,spectrum_id,label,compound_id,parent_full_mw,ms1_rt,ms2_rt,ms2_max_intensity,parent_mz,parent_intensity,parent_fromms1_mz,parent_fromms1_intensity,scan_type,mzml_file,mzml_file_short,spectrum_folder
0,20161130_Kat-0_pos_01_1616,1,Ruthenium2_0017,148.016175871436,10.184647,10.203051,4008.202880859375,149.023452471436,1676353.955761,149.02337710778318,333365.65625,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_01.mzML,20161130_Kat-0_pos_01,Ruthenium2
0,20161130_Kat-3_pos_01_1052,1,Ruthenium2_0168,206.021620993683,6.6346218,6.6492031,8583.609375,207.028897593683,426439.6631241,207.02890917376865,88798.7265625,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium2
0,20161130_Kat-3_pos_01_1566,1,Ruthenium2_0106,178.07825820695598,9.8540339,9.8736711,13358.318359375,179.085534806956,1049900.161549,179.08552528655605,180654.6875,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium2
0,20161130_Kat-3_pos_01_1617,1,Ruthenium2_0017,148.01616877808698,10.180398,10.195184,7461.58056640625,149.023445378087,2268590.310188,149.02336739544475,477177.125,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium2
0,20161130_Kat-3_pos_01_1646,1,Ruthenium2_0023,192.093994304302,10.353865,10.373503,21602.115234375,193.101270904302,821705.8963242,193.10132655580554,135143.078125,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium2
0,20161130_Kat-3_pos_01_1742,1,Ruthenium2_0095,206.10955994785198,10.937332,10.956117,19457.6171875,207.116836547852,1581860.146284,207.11713513158546,170852.15625,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium2
0,20161130_Kat-3_pos_01_1754,1,Ruthenium2_0095,206.10955994785198,11.009001,11.02853,33172.3203125,207.116836547852,1979498.380414,207.11710161309205,238753.15625,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium2
0,20161130_Kat-3_pos_01_1770,1,Ruthenium2_0031,206.10959046543,11.103718,11.122857,31220.58203125,207.11686706543,2170487.589157,207.1170983451498,273783.375,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium2
0,20161130_Kat-3_pos_01_1782,1,Ruthenium2_0031,206.10963624179698,11.176239,11.195053,21522.388671875,207.116912841797,2178535.452579,207.11712014973364,271149.03125,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium2
0,20161130_Kat-3_pos_01_1850,1,Ruthenium2_0020,220.125163305468,11.571687,11.58627,38785.44921875,221.132439905468,1213897.63517,221.13240450639452,240276.21875,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium2
