,spectrum_id,label,compound_id,parent_full_mw,ms1_rt,ms2_rt,ms2_max_intensity,parent_mz,parent_intensity,parent_fromms1_mz,parent_fromms1_intensity,scan_type,mzml_file,mzml_file_short,spectrum_folder,n_averaged,spectrum_ids_orig
0,Ruthenium2_AvSpec_0,1,Ruthenium2_0017,148.016175871436,10.184647,10.203051,4008.202880859375,149.023452471436,1676353.955761,149.02337710778318,333365.65625,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_01.mzML,20161130_Kat-0_pos_01,Ruthenium2,1.0,20161130_Kat-0_pos_01_1616
1,Ruthenium2_AvSpec_1,1,Ruthenium2_0019,325.37071062109146,11.0604065,11.0697395,131030.91015625,326.37798722109153,3163896.537861,326.37759924311086,590454.578125,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_01.mzML-BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_01.mzML,20161130_Kat-0_pos_01-20161130_Kat-6_pos_01,Ruthenium2,2.0,20161130_Kat-0_pos_01_1764-20161130_Kat-6_pos_01_1769
2,Ruthenium2_AvSpec_2,1,Ruthenium2_0168,206.021620993683,6.6346218,6.6492031,8583.609375,207.028897593683,426439.6631241,207.02890917376865,88798.7265625,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium2,1.0,20161130_Kat-3_pos_01_1052
3,Ruthenium2_AvSpec_3,1,Ruthenium2_0106,178.07820868189197,9.8448618,9.8571064,32931.6611328125,179.08548528189198,1364385.8347820002,179.08560487527174,235928.359375,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_02.mzML,20161130_Kat-3_pos_01-20161201_Kat-3_pos_02,Ruthenium2,2.0,20161130_Kat-3_pos_01_1566-20161201_Kat-3_pos_02_1608
4,Ruthenium2_AvSpec_4,1,Ruthenium2_0017,148.01616877808698,10.180398,10.195184,7461.58056640625,149.023445378087,2268590.310188,149.02336739544475,477177.125,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium2,1.0,20161130_Kat-3_pos_01_1617
5,Ruthenium2_AvSpec_5,1,Ruthenium2_0023,192.093994304302,10.353865,10.373503,21602.115234375,193.101270904302,821705.8963242,193.10132655580557,135143.078125,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium2,1.0,20161130_Kat-3_pos_01_1646
6,Ruthenium2_AvSpec_6,1,Ruthenium2_0023,192.0939268247945,10.365655499999999,10.375306,321774.91015625,193.1012034247945,6584014.7195225,193.1011088918641,1307140.109375,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_02.mzML,20161130_Kat-3_pos_01-20161201_Kat-3_pos_02,Ruthenium2,2.0,20161130_Kat-3_pos_01_1657-20161201_Kat-3_pos_02_1688
7,Ruthenium2_AvSpec_7,1,Ruthenium2_0095,206.109559947852,10.9731665,10.992323500000001,26314.96875,207.116836547852,1780679.263349,207.11711837233872,204802.65625,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium2,2.0,20161130_Kat-3_pos_01_1742-20161130_Kat-3_pos_01_1754
8,Ruthenium2_AvSpec_8,1,Ruthenium2_0019,325.37064994914147,11.1230405,11.139949,90222.185546875,326.37792654914153,1456901.91568,326.3779676536735,263684.015625,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_02.mzML,20161130_Kat-3_pos_01-20161201_Kat-0_pos_02,Ruthenium2,2.0,20161130_Kat-3_pos_01_1762-20161201_Kat-0_pos_02_1837
9,Ruthenium2_AvSpec_9,1,Ruthenium2_0031,206.10961335361347,11.139978500000002,11.158954999999999,26371.4853515625,207.1168899536135,2174511.520868,207.1171092474417,272466.203125,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium2,2.0,20161130_Kat-3_pos_01_1770-20161130_Kat-3_pos_01_1782
