,compound_id,compound_name,compound_name_iupac,compound_sf,compound_mw,compound_rt,compound_mq,compound_iso_smiles,compound_can_smiles,compound_xlogp,compound_folder,KMD-CH2,KMD-OCH2,KMD-C2H4O,KMD-CO,KMD-H2,KMD-COO,KMD-H2O,KMD-O,KMD-O2,KMD-S,KMD-OS,KMD-Cl,KMD-Br,KMD-NH3,KMD-C2H4,KMD-C3H8,KMD-C3H8O,KMD-C5H6O,KMD-CH4,KMD-C2O,KMD-C2H2O,KMD-C3H6O,KMDrem-CH2,KMDn-CH2,KMDrescaled-CH2,KMDrem-OCH2,KMDn-OCH2,KMDrescaled-OCH2,KMDrem-C2H4O,KMDn-C2H4O,KMDrescaled-C2H4O,KMDrem-CO,KMDn-CO,KMDrescaled-CO,KMDrem-H2,KMDn-H2,KMDrescaled-H2,KMDrem-COO,KMDn-COO,KMDrescaled-COO,KMDrem-H2O,KMDn-H2O,KMDrescaled-H2O,KMDrem-O,KMDn-O,KMDrescaled-O,KMDrem-O2,KMDn-O2,KMDrescaled-O2,KMDrem-S,KMDn-S,KMDrescaled-S,KMDrem-OS,KMDn-OS,KMDrescaled-OS,KMDrem-Cl,KMDn-Cl,KMDrescaled-Cl,KMDrem-Br,KMDn-Br,KMDrescaled-Br,KMDrem-NH3,KMDn-NH3,KMDrescaled-NH3,KMDrem-C2H4,KMDn-C2H4,KMDrescaled-C2H4,KMDrem-C3H8,KMDn-C3H8,KMDrescaled-C3H8,KMDrem-C3H8O,KMDn-C3H8O,KMDrescaled-C3H8O,KMDrem-C5H6O,KMDn-C5H6O,KMDrescaled-C5H6O,KMDrem-CH4,KMDn-CH4,KMDrescaled-CH4,KMDrem-C2O,KMDn-C2O,KMDrescaled-C2O,KMDrem-C2H2O,KMDn-C2H2O,KMDrescaled-C2H2O,KMDrem-C3H6O,KMDn-C3H6O,KMDrescaled-C3H6O,Kat-3_neg,Kat-3_pos,Kat-6_neg,Kat-6_pos,CV_Kat-3_neg,CV_Kat-3_pos,CV_Kat-6_neg,CV_Kat-6_pos,Kat-3,Kat-6,CV_Kat-3,CV_Kat-6,rt_predicted,rt_predicted_sd
0,Ruthenium2_0002,Myristic acid,Tetradecanoic acid,C14 H28 O2,228.20847,9.612,0.871,CCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCC(=O)O,5.3,Ruthenium2,0.0463506647135432,-0.1281332784519691,-0.0725866932357064,-0.249924917904508,-0.4365963356222551,-0.26123341860702,-0.0746068801691137,-0.2810259913823074,-0.2810259913823074,-0.4078188167940766,-0.365538894817206,-0.4117389447956157,-0.4446441699150512,0.1473701476710118,0.0463506647135432,0.1157484750712853,0.0100768746544872,-0.0920184184576271,0.2370930219753972,-0.2374868612269267,-0.1510808552300488,-0.0438663136618231,O2,14,2.2824363545047253,C12 H24,2,5.604286441934911,C10 H20,2,3.1834783309279846,C12 H28,2,6.151799469395392,C14 O2,14,99.2185264522679,C12 H28,2,3.914975435940266,C14 H24,2,10.670837041768785,C14 H28,2,12.267592892453656,C14 H28,1,6.133796446226828,C14 H28 O2,0,7.137758730010167,C14 H28 O2,0,4.757624986522886,C14 H28 O2,0,6.52606284274946,C14 H28 O2,0,2.891710187186051,C14 H28 O2,0,13.403122898612995,O2,7,1.1412181772523626,C5 H4 O2,3,2.179197977563185,C8 H12,2,1.79983971377108,C4 H16,2,0.7816155893321197,C7 O2,7,7.235210388825402,C10 H28,2,3.705948676532856,C10 H24,2,3.432179544787978,C8 H16,2,1.931798726264619,115614998.091149,0.0,246296999.296886,0.0,19.5205946409396,1000.0,18.172066769891,1000.0,115614998.091149,246296999.296886,19.5205946409396,18.172066769891,7.828853775160557,0.11401594689585932
1,Ruthenium2_0003,Pentadecanoic acid,Pentadecanoic acid,C15 H30 O2,242.22428,10.05,0.894,CCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCC(=O)O,5.8,Ruthenium2,0.0461909077597226,-0.1390092625267982,-0.0800511896276248,-0.2682809419540035,-0.3435837111862554,-0.280283973395143,-0.0821954497658055,-0.3012921405759527,-0.3012921405759527,-0.4358721622751318,-0.3909955472252591,-0.4400330515825317,-0.4749592068772017,0.1534146734917953,0.0461909077597226,0.1198509022703717,0.0076893013998642,-0.100676347190955,0.2486480302024745,-0.2550789809429545,-0.1633662036289536,-0.0495668992609239,O2,15,2.2824363545047253,C13 H26,2,6.071310312096154,C11 H22,2,3.5018261640207835,C13 H30,2,6.652449328661699,C15 O2,15,105.1719407931718,C13 H30,2,4.233586585537309,C15 H26,2,11.449027526650564,C15 H30,2,13.143849527628918,C15 H30,1,6.571924763814459,C15 H30 O2,0,7.576130394704893,C15 H30 O2,0,5.049818665830998,C15 H30 O2,0,6.926866672143453,C15 H30 O2,0,3.0693070851088877,C15 H30 O2,0,14.226287356731996,C H2 O2,7,1.6412181772523624,C6 H6 O2,3,2.497282929028713,C9 H14,2,2.033210176952397,C5 H18,2,0.9524509317078048,C8 H2 O2,7,8.109478224356481,C11 H30,2,4.056384480628859,C11 H26,2,3.765801579385098,C9 H18,2,2.173273567047696,107635728.021069,0.0,227452351.792881,0.0,13.7175795266305,1000.0,3.93221719603103,1000.0,107635728.021069,227452351.792881,13.7175795266305,3.93221719603103,8.572529741556728,0.1275198107754161
2,Ruthenium2_0004,Pentadecanoic acid,Pentadecanoic acid,C15 H30 O2,242.22426,10.147,0.8640000000000001,CCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCC(=O)O,5.8,Ruthenium2,0.0462108854274845,-0.1389892695674177,-0.0800312015363431,-0.2682609383209069,-0.3435638664717828,-0.2802639687710098,-0.0821754614974565,-0.3012721342171858,-0.3012721342171858,-0.4358521448043575,-0.3909755334599083,-0.4400130337681958,-0.4749391861791139,0.1534346423062231,0.0462108854274845,0.1198708738561435,0.0077092822466227,-0.1006563573966445,0.2486679911536953,-0.2550589783999442,-0.1633462086585098,-0.0495469136866688,O2,15,2.2824363545047253,C13 H26,2,6.071310312096154,C11 H22,2,3.5018261640207835,C13 H30,2,6.652449328661699,C15 O2,15,105.1719407931718,C13 H30,2,4.233586585537309,C15 H26,2,11.449027526650564,C15 H30,2,13.143849527628918,C15 H30,1,6.571924763814459,C15 H30 O2,0,7.576130394704893,C15 H30 O2,0,5.049818665830998,C15 H30 O2,0,6.926866672143453,C15 H30 O2,0,3.0693070851088877,C15 H30 O2,0,14.226287356731996,C H2 O2,7,1.6412181772523624,C6 H6 O2,3,2.497282929028713,C9 H14,2,2.033210176952397,C5 H18,2,0.9524509317078048,C8 H2 O2,7,8.109478224356481,C11 H30,2,4.056384480628859,C11 H26,2,3.765801579385098,C9 H18,2,2.173273567047696,120915037.325334,0.0,144890828.876447,0.0,3.3203171544975,1000.0,74.4116834617319,1000.0,120915037.325334,144890828.876447,3.3203171544975,74.4116834617319,8.572529741556728,0.1275198107754161
3,Ruthenium2_0008,Bis(2-ethylhexyl) phthalate,"Bis(2-ethylhexyl) benzene-1,2-dicarboxylate",C24 H38 O4,390.27659,15.026,0.8959999999999999,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,7.4,Ruthenium2,0.1591981198972689,-0.1392000874452605,-0.0442056647389677,-0.3474851950753646,-0.2463746375108257,-0.366824718679311,-0.0476605394310922,-0.4006734965536225,-0.4006734965536225,0.3824884888969109,0.4547945859255833,0.375784381074709,0.3195106632202282,0.3319591893361462,0.1591981198972689,0.2778805718671719,0.0971635639904775,-0.0774373298801265,0.4854010726655247,-0.3262139322412167,-0.1784444766377646,0.0049112317706772,C5 O4,19,8.845801508176905,C20 H30,4,9.004653988090544,C16 H22,4,4.864650570860299,C20 H38,4,9.940996606226284,C24 O4,19,174.62339554092026,C20 H38,4,6.326402171552978,C24 H30,4,17.669337777570032,C24 H38,4,20.400068333313307,C24 H38,2,10.200034166656652,C24 H38 O4,0,12.206810361898428,C24 H38 O4,0,8.136367195957565,C24 H38 O4,0,11.160703877022328,C24 H38 O4,0,4.945327968027248,C24 H38 O4,0,22.92167410936769,C6 H2 O4,9,4.922900754088452,C12 H6 O4,4,4.857330421247179,C12 H6,4,2.498387595618256,C4 H14,4,0.757047034374775,C15 H2 O4,9,15.344688613181884,C16 H38,4,5.758165842215668,C16 H30,4,5.2899729541455285,C12 H14,4,2.724060485664193,0.0,19322456.9513284,0.0,103258738.076483,1000.0,4.41618584684684,1000.0,11.3495032964105,19322456.9513284,103258738.076483,4.41618584684684,11.3495032964105,10.451332275534472,0.28744726892396033
4,Ruthenium2_0009,Palmitoleic acid,Hexadec-9-enoic acid,C16 H30 O2,254.22444,9.943,0.976,CCCCCC/C=C\CCCCCCCC(=O)O,CCCCCCC=CCCCCCCCC(=O)O,6.4,Ruthenium2,0.0594304487490262,-0.1349448202330734,-0.0730658745457901,-0.2706208156792797,-0.2505711507097885,-0.2832184955915693,-0.075316364599189,-0.3052674393926224,-0.3052674393926224,-0.446514760477271,-0.3994148895224043,-0.4508817865825278,-0.4875382368406917,0.1719662432528537,0.0594304487490262,0.1367396716513269,0.0190214141306341,-0.0947128338491154,0.2719176055981052,-0.2567648093989589,-0.1605084413193651,-0.0410713459738474,C O2,15,3.138622114338216,C14 H26,2,6.471169499230535,C12 H22,2,3.774391045388686,C14 H30,2,7.081098608828151,C16 O2,15,111.12535513407566,C14 H30,2,4.506376914746475,C16 H26,2,12.115303138244265,C16 H30,2,13.894087980625589,C16 H30,1,6.947043990312793,C16 H30 O2,0,7.95145797153102,C16 H30 O2,0,5.299990733167957,C16 H30 O2,0,7.270029203357322,C16 H30 O2,0,3.221363020101021,C16 H30 O2,0,14.931069043774537,C2 H2 O2,7,2.069311057169108,C7 H6 O2,3,2.769622734890825,C10 H14,2,2.2330186442939866,C6 H18,2,1.0987177191261457,C9 H2 O2,7,8.858013895418638,C12 H30,2,4.356422625831656,C12 H26,2,4.051444014573828,C10 H18,2,2.3800208870842265,32453118.3778656,827111.803741615,100294355.311887,1045917.19296506,18.036019457957,39.2929655706718,8.53541027597242,20.934085198763,32453118.3778656,100294355.311887,18.036019457957,8.53541027597242,9.374841502845594,0.16803531806364755
5,Ruthenium2_0010,None,None,C17 H34 O2,270.25595,10.508,0.0,None,None,,Ruthenium2,0.045821449682819,-0.1608112130748509,-0.0950301526397083,-0.3050429991356509,-0.1576080741004375,-0.3184350945317078,-0.0974225596299334,-0.3418744548601466,-0.3418744548601466,-0.4920288969141211,-0.44195888645487,-0.4966713096921467,0.4643606674530929,0.1654538030971366,0.045821449682819,0.1280058277041007,0.0028642027738214,-0.1180421791432877,0.2717081442785343,-0.2903132267325645,-0.1879868878530146,-0.0610180343948627,O2,17,2.2824363545047253,C15 H30,2,7.005358052418639,C13 H26,2,4.138521830206381,C15 H34,2,7.653749047194311,C17 O2,17,117.07876947497954,C15 H34,2,4.870808884731394,C17 H30,2,13.005408496414129,C17 H34,2,14.89636279797944,C17 H34,1,7.448181398989719,C17 H34 O2,0,8.452873724094346,C17 H34 O2,0,5.634206024447221,C17 H34 O2,0,7.72847433093144,C17 H34 O2,0,3.42450088095456,C17 H34 O2,0,15.872616272969998,C H2 O2,8,1.6412181772523624,C5 H2 O2,4,2.1334528319597688,C11 H18,2,2.499951103315031,C7 H22,2,1.2941216164591751,C9 H2 O2,8,8.858013895418638,C13 H34,2,4.757256088820865,C13 H30,2,4.433045648579338,C11 H22,2,2.6562232486138506,46376737.7029886,0.0,75465868.2990595,0.0,3.37100091991694,1000.0,15.5182044567354,1000.0,46376737.7029886,75465868.2990595,3.37100091991694,15.5182044567354,,
9,Ruthenium2_0017,None,None,C8 H4 O3,148.016,10.165,0.0,None,None,,Ruthenium2,0.1492766679003807,0.0361063927936413,0.0721339046444029,-0.0428876572747185,0.1332371527951465,-0.050222350154371,0.0708236115201543,-0.0630598116732414,-0.0630598116732414,-0.1452976306558184,-0.1178748757890844,-0.1478402254432751,-0.1691825524887065,0.2147978985077827,0.1492766679003807,0.1942880835499068,0.1257494898364655,0.0595304888270789,0.2729921494180871,-0.03482033445718,0.0212225958671581,0.0907619411191547,C6 O3,2,8.560769090758033,C6 O,2,2.932131252645044,C6 O2,1,2.361997955836224,C5 H4,3,2.2872475590319734,C8 O3,2,71.43340324665137,C5 H4,3,1.4555932868215835,C8 O,2,6.218290019461526,C8 H4,3,6.253943988330535,C8 H4 O,1,3.626971994165268,C8 H4 O3,0,4.629541926772209,C8 H4 O3,0,3.0857899769519666,C8 H4 O3,0,4.232796692921537,C8 H4 O3,0,1.8755598301979968,C8 H4 O3,0,8.693249765913725,C6 O3,1,4.280384545379016,C8 H4 O3,0,3.359221723672417,C8 H4 O3,0,2.4645715742611363,C8 H4 O3,0,1.804152603370203,C7 O3,1,8.232940734520549,C2 H4,3,0.7008716081920061,C4 O,2,1.5233052709690709,C8 H4 O3,0,2.5501600347376403,0.0,14953862.792942,0.0,45597325.86375,1000.0,9.62339940387919,1000.0,9.41054826207177,14953862.792942,45597325.86375,9.62339940387919,9.41054826207177,,
11,Ruthenium2_0019,Didecyldimethylammonium,Didecyl(dimethyl)azanium,C22 H47 N,325.37054,11.204,0.977,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,9.3,Ruthenium2,-0.0072268535554371,-0.2559991046865661,-0.1768029976053071,-0.429644769530455,0.1557268427265512,-0.4457679790685347,-0.1796832996091097,-0.4739874403877024,-0.4739874403877024,0.345236403177978,0.4055174306296294,0.3396472409320381,0.2927322825786973,0.136802698548422,-0.0072268535554371,0.0917177782144449,-0.0589445775266881,-0.2045079768665232,0.2647259963242163,-0.411911084107885,-0.2887168449526029,-0.1358546252203041,H3 N,22,1.214824073290389,C22 H47 N,0,10.84187698382046,C22 H47 N,0,7.390388939362529,C22 H47 N,0,11.622498405184908,C22 H N,23,138.4222906327781,C22 H47 N,0,7.396501785684153,C22 H47 N,0,18.065555202039103,C22 H47 N,0,20.342143628647083,C22 H47 N,0,10.17107181432354,C22 H47 N,0,10.176721074603511,C22 H47 N,0,6.783224860465234,C22 H47 N,0,9.30459038728264,C22 H47 N,0,4.122880741240751,C22 H44,1,18.10961807861801,H3 N,11,0.6074120366451945,C7 H7 N,5,2.3842861886333453,C22 H47 N,0,5.4176542466565625,C22 H47 N,0,3.965912418751864,C11 H3 N,11,9.29597399479038,C22 H47 N,0,8.135305541070766,C22 H47 N,0,7.744976840145338,C22 H47 N,0,5.605795946904948,0.0,6063301.21361276,0.0,34440578.7224924,1000.0,6.93142849600254,1000.0,17.7314805164098,6063301.21361276,34440578.7224924,6.93142849600254,17.7314805164098,11.666957530369338,0.5465064890764151
12,Ruthenium2_0020,None,None,C17 H16,220.12495,11.575,0.0,None,None,,Ruthenium2,0.1208444969309425,-0.0474589374907168,0.0061200961595204,-0.164936516411899,-0.4158390201250483,-0.1758444513878316,0.0041714675757305,-0.1949359386254627,-0.1949359386254627,-0.3172375532593605,-0.2764552557786146,-0.3210188238683429,-0.352758491699916,0.2182857033640175,0.1208444969309425,0.1877841225071108,0.0858555842798978,-0.0126233253396037,0.3048304456345647,-0.1529390361945388,-0.069593673291223,0.0338231525697096,C9,8,7.705671838501417,C17 H16,0,7.334923645499371,C17 H16,0,4.999866597053515,C17 H16,0,7.863042395628535,C17,8,101.208043795366,C17 H16,0,5.004002159658837,C17 H16,0,12.222004383397564,C17 H16,0,13.762199158372107,C17 H16,0,6.881099579186055,C17 H16,0,6.8849215089929485,C17 H16,0,4.589098040497518,C17 H16,0,6.294893416076762,C17 H16,0,2.7892785983118977,C17 H16,0,12.928350848334864,C9,4,3.8528359192507087,C11,2,2.995737864483234,C17 H16,0,3.66523991152484,C17 H16,0,2.6830838257705483,C13,4,9.73096372380806,C17 H16,0,5.503829739593195,C17 H16,0,5.239758193475532,C17 H16,0,3.792524606593392,0.0,37672908.3445165,0.0,567636.995803572,1000.0,3.69751418044872,1000.0,7.88590739165582,37672908.3445165,567636.995803572,3.69751418044872,7.88590739165582,,
13,Ruthenium2_0021,None,None,C18 H18,234.14048,12.036,0.0,None,None,,Ruthenium2,0.12096442732539,-0.0580550201345033,-0.0010645669541702,-0.183012489598326,-0.3225485696864609,-0.1946149414379192,-0.0031372662640194,-0.2149219987966546,-0.2149219987966546,-0.3450106541496893,-0.3016317154712453,-0.3490326812547266,-0.3827932388885813,0.2246097925873016,0.12096442732539,0.1921661519069175,0.0837477428795807,-0.0210013969529825,0.3166649071788185,-0.1702511203083929,-0.0815990921036586,0.0284023650103506,C9,9,7.705671838501417,C18 H18,0,7.801947515660613,C18 H18,0,5.3182144301463135,C18 H18,0,8.363692254894843,C18,9,107.1614581362699,C18 H18,0,5.32261330925588,C18 H18,0,13.000194868279344,C18 H18,0,14.63845579354737,C18 H18,0,7.319227896773685,C18 H18,0,7.323293173687675,C18 H18,0,4.881291719805629,C18 H18,0,6.695697245470755,C18 H18,0,2.9668754962347337,C18 H18,0,13.751515306453866,C10 H2,4,4.352835919250709,C12 H2,2,3.313822815948762,C18 H18,0,3.898610374706157,C18 H18,0,2.8539191681462337,C14 H2,4,10.605231559339138,C18 H18,0,5.854265543689198,C18 H18,0,5.573380228072652,C18 H18,0,4.033999447376469,0.0,30719721.107732,0.0,603916.025749389,1000.0,14.9821845040928,1000.0,26.7254265271576,30719721.107732,603916.025749389,14.9821845040928,26.7254265271576,,
