,spectrum_id,mz,intensity,formula,formula_massdiff,formula_massdiff_ppm,n_averaged,rel_intensity,min_intensity,max_intensity,cluster
0,Ruthenium2_AvSpec_0,59.62815549854791,706.5686798095703,,-1.0,-1.0,1.0,0.0125854764862161,-1.0,-1.0,27.0
1,Ruthenium2_AvSpec_0,59.88054009987759,738.5029754638672,,-1.0,-1.0,1.0,0.0131542935574304,-1.0,-1.0,23.0
2,Ruthenium2_AvSpec_0,64.75806162190312,885.1502075195312,,-1.0,-1.0,1.0,0.0157663896544476,-1.0,-1.0,26.0
3,Ruthenium2_AvSpec_0,65.03970183266006,12502.112503051758,,-1.0,-1.0,1.0,0.2226889578201979,-1.0,-1.0,16.0
4,Ruthenium2_AvSpec_0,66.1878385745612,744.3273391723633,,-1.0,-1.0,1.0,0.0132580377433745,-1.0,-1.0,20.0
5,Ruthenium2_AvSpec_0,67.8961615061003,713.5301132202148,,-1.0,-1.0,1.0,0.012709474278651,-1.0,-1.0,28.0
6,Ruthenium2_AvSpec_0,68.05658621619257,815.4069366455078,,-1.0,-1.0,1.0,0.0145241150946789,-1.0,-1.0,22.0
7,Ruthenium2_AvSpec_0,71.89059274928415,788.9981079101562,,-1.0,-1.0,1.0,0.014053718227998,-1.0,-1.0,25.0
8,Ruthenium2_AvSpec_0,73.821600681495,735.6286849975586,,-1.0,-1.0,1.0,0.013103096389891,-1.0,-1.0,19.0
9,Ruthenium2_AvSpec_0,75.05647732447484,855.0627136230469,,-1.0,-1.0,1.0,0.0152304680125976,-1.0,-1.0,24.0
10,Ruthenium2_AvSpec_0,75.71962024724772,697.2773971557617,,-1.0,-1.0,1.0,0.0124199791712235,-1.0,-1.0,13.0
11,Ruthenium2_AvSpec_0,77.66743722411152,764.3651809692383,,-1.0,-1.0,1.0,0.0136149539129916,-1.0,-1.0,29.0
12,Ruthenium2_AvSpec_0,86.84657338799317,795.4318466186523,,-1.0,-1.0,1.0,0.0141683166662646,-1.0,-1.0,21.0
13,Ruthenium2_AvSpec_0,87.79865579946937,802.9060134887695,,-1.0,-1.0,1.0,0.0143014473216217,-1.0,-1.0,12.0
14,Ruthenium2_AvSpec_0,88.46025164594629,751.5150756835938,,-1.0,-1.0,1.0,0.0133860664707101,-1.0,-1.0,17.0
15,Ruthenium2_AvSpec_0,93.0341802850699,1158.0777435302734,,-1.0,-1.0,1.0,0.0206278039586167,-1.0,-1.0,15.0
16,Ruthenium2_AvSpec_0,96.12003377668964,871.0046615600586,,-1.0,-1.0,1.0,0.015514427685081,-1.0,-1.0,9.0
17,Ruthenium2_AvSpec_0,104.50823019620807,838.1200637817383,,-1.0,-1.0,1.0,0.0149286837313449,-1.0,-1.0,18.0
