,0
0,-3.9761719465671406
1,-3.8966485076357977
2,-3.817125068704455
3,-3.737601629773112
4,-3.658078190841769
5,-3.5785547519104264
6,-3.4990313129790835
7,-3.419507874047741
8,-3.3399844351163983
9,-3.2604609961850555
10,-3.1809375572537126
11,-3.10141411832237
12,-3.021890679391027
13,-2.942367240459684
14,-2.8628438015283413
15,-2.7833203625969984
16,-2.7037969236656556
17,-2.6242734847343128
18,-2.54475004580297
19,-2.465226606871627
20,-2.3857031679402843
21,-2.3061797290089414
22,-2.2266562900775986
23,-2.1471328511462557
24,-2.067609412214913
25,-1.9880859732835703
26,-1.9085625343522277
27,-1.8290390954208848
28,-1.749515656489542
29,-1.6699922175581992
30,-1.5904687786268563
31,-1.5109453396955135
32,-1.4314219007641706
33,-1.3518984618328278
34,-1.272375022901485
35,-1.1928515839701421
36,-1.1133281450387993
37,-1.0338047061074565
38,-0.9542812671761136
39,-0.8747578282447708
40,-0.7952343893134279
41,-0.7157109503820855
42,-0.6361875114507427
43,-0.5566640725193999
44,-0.47714063358805703
45,-0.3976171946567142
46,-0.31809375572537135
47,-0.23857031679402851
48,-0.15904687786268568
49,-0.07952343893134284
50,0.0
